"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","doJOZc","W4Efsd 7","lcr4fd href","Cw1rxd 2","R8c4Qb 2"
"https://www.google.com/maps/place/Perfecto+Printing/data=!4m7!3m6!1s0x2e68e7b30028453b:0xe90d97544b84edd2!8m2!3d-6.8567083!4d107.5966054!16s%2Fg%2F11fw9_g88y!19sChIJO0UoALPnaC4R0u2ES1SXDek?authuser=0&hl=id&rclk=1","Perfecto Printing","4,4","(34)","Layanan cetak digital","·","Jl. Cidadap Girang Baru No.15a","Tutup","· Buka Sel pukul 08.00","·","0852-8390-3060","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""next pasti","print","lagi disini buat totebag nya""","","","","",""
"https://www.google.com/maps/place/Irma+digital+print/data=!4m7!3m6!1s0x2e68e73c4ad3aeb7:0x4438da58d4d63242!8m2!3d-6.8756!4d107.6062614!16s%2Fg%2F11t7_d543v!19sChIJt67TSjznaC4RQjLW1FjaOEQ?authuser=0&hl=id&rclk=1","Irma digital print","4,8","(12)","Printer Digital","·","Jl. Bukit Jarian No.44","Segera tutup","· 22.00 · Buka Sel pukul 07.00","·","0812-2285-5305","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempat","print","yg mantap..pelayanan jg mantap,cepat rapih,THANKYOU""","","","","",""
"https://www.google.com/maps/place/ELNI+Printing+Pusat/data=!4m7!3m6!1s0x2e68e66364cbe72b:0x74263b160cbbddfd!8m2!3d-6.8897686!4d107.5872265!16s%2Fg%2F11b6c_rwd9!19sChIJK-fLZGPmaC4R_d27DBY7JnQ?authuser=0&hl=id&rclk=1","ELNI Printing Pusat","4,6","(207)","Layanan cetak digital","·","Jl. Sukamulya No.73","Segera tutup","· 22.00 · Buka Sel pukul 08.00","·","0878-2100-2181","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Elni Digital","Print","tempat terbaik untuk digital","","","https://elniprinting.com/","","Rute"
"https://www.google.com/maps/place/Sultan+Global+Printing+Bandung/data=!4m7!3m6!1s0x2e68e7ade84e4c0d:0xebcd74468b7d2df2!8m2!3d-6.8853563!4d107.614337!16s%2Fg%2F1pzxdzl5l!19sChIJDUxO6K3naC4R8i19i0Z0zes?authuser=0&hl=id&rclk=1","Sultan Global Printing Bandung","4,3","(280)","Layanan cetak digital","·","Jl. Dipati Ukur No.98","Buka","· Tutup pukul 00.00","·","0812-2067-076","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""fast response sih tp pas pagi2 mau di ambil eh kayanya baru d","print",".""","","","http://sultanglobal.id/","","Rute"
"https://www.google.com/maps/place/Pelita+Karya+Fotocopy+%26+Digital+Printing+%2824+Jam%29/data=!4m7!3m6!1s0x2e68e7102f9c5f89:0xd47a75c92fba02a2!8m2!3d-6.8859561!4d107.614857!16s%2Fg%2F11rhvtd7n0!19sChIJiV-cLxDnaC4RogK6L8l1etQ?authuser=0&hl=id&rclk=1","Pelita Karya Fotocopy & Digital Printing (24 Jam)","4,8","(78)","Toko Fotokopi","·","Jl. Dipati Ukur No.122 B","Buka 24 jam","","·","0821-1863-3397","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Layanan nya cepat, Lengkap, mau","print","jam berapa aja Ready.""","","","","",""
"https://www.google.com/maps/place/Fotokopi+Jaya+Abadi/data=!4m7!3m6!1s0x2e68e65388865c6f:0x1727b5d00ae5af84!8m2!3d-6.8920519!4d107.6177354!16s%2Fg%2F11bbwywr4q!19sChIJb1yGiFPmaC4RhK_lCtC1Jxc?authuser=0&hl=id&rclk=1","Fotokopi Jaya Abadi","4,5","(1.242)","Toko Fotokopi","·","·","Buka 24 jam","","Jl. Dipati Ukur No.269","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pegawai ramah, kualitas","print","bagus dengan harga yang murah.""","","","","",""
"https://www.google.com/maps/place/Cahaya+Abadi+Fotocopy,+Penjilidan+%26+Digital+Printing/data=!4m7!3m6!1s0x2e68e78b5576e0a5:0x327a9ed4ef1c41b5!8m2!3d-6.886133!4d107.614902!16s%2Fg%2F11gl15d6pd!19sChIJpeB2VYvnaC4RtUEc79SeejI?authuser=0&hl=id&rclk=1","Cahaya Abadi Fotocopy, Penjilidan & Digital Printing","4,7","(362)","Toko Fotokopi","·","·","Buka 24 jam","","Jl. Dipati Ukur No.122D","0823-1919-2336","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan","print","yg cepat dan murah""","","·","","",""
"https://www.google.com/maps/place/Bandung+Printing/data=!4m7!3m6!1s0x2e68e65472b0fedf:0x8520e260b762cfa6!8m2!3d-6.8913297!4d107.6171156!16s%2Fg%2F11bztgs7g9!19sChIJ3_6wclTmaC4Rps9it2DiIIU?authuser=0&hl=id&rclk=1","Bandung Printing","4,1","(348)","Printer Digital","·","·","Tutup","· Buka Sel pukul 09.00","Jl. Dipati Ukur No.45","0811-2487-878","","Situs Web","","","","","","·","https://wa.me/message/E5NBMOBMYILID1","","Rute"
"https://www.google.com/maps/place/AKHBAR+PRINT/data=!4m7!3m6!1s0x2e68e6567564513b:0x62c481d596518d35!8m2!3d-6.8883772!4d107.6156723!16s%2Fg%2F1hc6295vc!19sChIJO1FkdVbmaC4RNY1RltWBxGI?authuser=0&hl=id&rclk=1","AKHBAR PRINT","4,5","(190)","Layanan cetak digital","·","·","Tutup","· Buka Sel pukul 09.00","Jl. Dipati Ukur No.88","0812-1423-2144","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Print","segala bisa, hasil bagus, admin sangat helpful, ramah dan baik.""","","·","","",""
"https://www.google.com/maps/place/Satria+Fotocopy/data=!4m7!3m6!1s0x2e68e6bc318e75f3:0x54365bea9c76d187!8m2!3d-6.8642046!4d107.5911284!16s%2Fg%2F11b61jmvwv!19sChIJ83WOMbzmaC4Rh9F2nOpbNlQ?authuser=0&hl=id&rclk=1","Satria Fotocopy","4,4","(220)","Toko Fotokopi","·","·","Buka 24 jam","","Jl. Gegerkalong Girang No.49","0821-1939-8944","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""pelayanannya baik dan cepat, 24 jam, the go-to place buat","print","tugas!""","","·","","",""
"https://www.google.com/maps/place/Sunrise+Computer/data=!4m7!3m6!1s0x2e68e65414e37bbf:0x18ffdd4af7295be4!8m2!3d-6.8911502!4d107.617!16s%2Fg%2F1q4kmfv9f!19sChIJv3vjFFTmaC4R5Fsp90rd_xg?authuser=0&hl=id&rclk=1","Sunrise Computer","4,0","(383)","Printer Digital","·","·","Tutup","· Buka Sel pukul 08.00","Jl. Dipati Ukur No.49","0877-2221-0767","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat","print","nya lengkap mau ukuran apa aja ada""","","·","https://shopee.co.id/sunrisedigitalprint?entryPoint=ShopBySearch&searchKeyword=sunrise%20digital%20print","","Rute"
"https://www.google.com/maps/place/Araya+Copy+Center+24JAM+%23PastiBuka/data=!4m7!3m6!1s0x2e68e766083c07d7:0x12ea87c72196d2dc!8m2!3d-6.8960052!4d107.5993813!16s%2Fg%2F11jxxwl8kn!19sChIJ1wc8CGbnaC4R3NKWIceH6hI?authuser=0&hl=id&rclk=1","Araya Copy Center 24JAM #PastiBuka","4,7","(70)","Toko Fotokopi","·","Jl. Kesehatan No.1","Buka 24 jam","","·","0813-2231-3111","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kualitas","print",", fotocopy juga jelas.""","","","","",""
"https://www.google.com/maps/place/Gugum+Print+Photocopy+dan+Percetakan/data=!4m7!3m6!1s0x2e68e65389126ca5:0xa9e3f5df79758301!8m2!3d-6.8921085!4d107.6176028!16s%2Fg%2F11b60qyl9g!19sChIJpWwSiVPmaC4RAYN1ed_146k?authuser=0&hl=id&rclk=1","Gugum Print Photocopy dan Percetakan","4,5","(212)","Layanan cetak digital","·","·","Buka 24 jam","","Jl. Dipati Ukur No.42/60","0818-0224-7051","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bisa order","print","via WA, fast respon dan hasil bagus""","","·","","",""
"https://www.google.com/maps/place/Angkasa+Putra/data=!4m7!3m6!1s0x2e68e64474760987:0x3cdb548b11e62c2e!8m2!3d-6.901164!4d107.604204!16s%2Fg%2F11c3v6znx_!19sChIJhwl2dETmaC4RLizmEYtU2zw?authuser=0&hl=id&rclk=1","Angkasa Putra","4,3","(1.464)","Printer Digital","·","·","Tutup","· Buka Sel pukul 08.00","Jl. Cihampelas No.77","(022) 4241255","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat yg tepat untuk kebutuhan fotocopy, laminating,","printing","dll 👍""","","·","https://angkasaputra.com/","","Rute"
"https://www.google.com/maps/place/GUNAJAYA+PRINTING+SESKOAU/data=!4m7!3m6!1s0x2e68e0e24240cce9:0x310aedd741e03f80!8m2!3d-6.8197427!4d107.6243861!16s%2Fg%2F11b6d1l2f5!19sChIJ6cxAQuLgaC4RgD_gQdftCjE?authuser=0&hl=id&rclk=1","GUNAJAYA PRINTING SESKOAU","4,6","(632)","Layanan cetak digital","·","Jl. Seskoau No.24","Tutup","· Buka Sel pukul 07.00","·","(022) 2787232","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cs Fast respon,  sangat membantu produk","printing","lengkap""","","","http://www.gunajayaprinting.com/","","Rute"
"https://www.google.com/maps/place/Borobudur+Printing/data=!4m7!3m6!1s0x2e68e65b605ec3ff:0x3cc5122c08ae992!8m2!3d-6.9000196!4d107.6039965!16s%2Fg%2F1hc8ypd0j!19sChIJ_8NeYFvmaC4RkumKwCJRzAM?authuser=0&hl=id&rclk=1","Borobudur Printing","4,2","(160)","Layanan cetak digital","·","·","Tutup","· Buka Sel pukul 08.00","Jl. Cihampelas No.85","0851-8686-2285","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Murah harga Fotocopy A1 Hitam putih cuma 7.500/Lembar""","","","","·","","",""
"https://www.google.com/maps/place/Yohan+Foto+Studio/data=!4m7!3m6!1s0x2e68e693763b7d43:0x5184f45abc97daa4!8m2!3d-6.8730319!4d107.5949393!16s%2Fg%2F11bbycg__1!19sChIJQ307dpPmaC4RpNqXvFr0hFE?authuser=0&hl=id&rclk=1","Yohan Foto Studio","3,8","(121)","Studio Foto","·","Jl. Dr. Setiabudi No.105","Tutup","· Buka Sel pukul 10.00","·","0878-1855-5105","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""For fair, hasil foto cukup ok.""","","","","","","",""
"https://www.google.com/maps/place/Studio+Putih/data=!4m7!3m6!1s0x476d4ed523690cd7:0x663607e72ae4ce7c!8m2!3d-6.8730319!4d107.5949393!16s%2Fg%2F11v09mk_bk!19sChIJ1wxpI9VObUcRfM7kKucHNmY?authuser=0&hl=id&rclk=1","Studio Putih","4,9","(123)","Studio Foto","·","Jl. Dr. Setiabudi No.105","Tutup","· Buka Sel pukul 10.00","·","0878-7080-8815","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""⭐ Studio Putih — Highly Recommended!""","","","","","","",""
"https://www.google.com/maps/place/Rindu+Dago+Digital+Printing+%26+Copier/data=!4m7!3m6!1s0x2e68e6f924ae1f07:0x2702d20bd94addf3!8m2!3d-6.8836784!4d107.6146316!16s%2Fg%2F1hc19_vjz!19sChIJBx-uJPnmaC4R891K2QvSAic?authuser=0&hl=id&rclk=1","Rindu Dago Digital Printing & Copier","2,9","(170)","Layanan cetak digital","·","·","Buka 24 jam","","Jl. Tubagus Ismail No.1","0812-9108-1884","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lelet bgt padahal ngeprint 2 lembar orng lagi buru"" Malah ngobrol terus""","","","","·","","",""
"https://www.google.com/maps/place/Azqa+Printing/data=!4m7!3m6!1s0x2e68e7e9bf30a50f:0xe617b985fc675946!8m2!3d-6.888978!4d107.5929365!16s%2Fg%2F11sb3tw5g9!19sChIJD6Uwv-nnaC4RRlln_IW5F-Y?authuser=0&hl=id&rclk=1","Azqa Printing","4,9","(39)","Layanan cetak digital","·","Jl. Sukagalih Gg. H. Gojali 10 No.16, RT.04/RW.05","Buka 24 jam","","·","0821-1798-2424","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Azqa","printing","bagus the best bintang 5 deh bagus lengkap banget""","","","","",""
"https://www.google.com/maps/place/Surapati+House+of+Printing/data=!4m7!3m6!1s0x2e68e7b31fb95e5f:0xeafb911c0ed6c69d!8m2!3d-6.8989589!4d107.6201205!16s%2Fg%2F1pzsxyhgw!19sChIJX165H7PnaC4RncbWDhyR--o?authuser=0&hl=id&rclk=1","Surapati House of Printing","3,9","(250)","Layanan cetak digital","·","·","Tutup","· Buka Sel pukul 08.00","Jl. Surapati Kel No.55D","(022) 2531400","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sudah cukup sering ngeprint disini, hasilnya selalu bagus.""","","","","·","http://www.instagram.com/surapatihop","","Rute"
"https://www.google.com/maps/place/Maxigraph+Digital+Printing/data=!4m7!3m6!1s0x2e68e687401bd9b1:0x2515263180111f17!8m2!3d-6.8868734!4d107.5815515!16s%2Fg%2F1hm5b4b2_!19sChIJsdkbQIfmaC4RFx8RgDEmFSU?authuser=0&hl=id&rclk=1","Maxigraph Digital Printing","4,4","(62)","Printer Digital","·","Jl. Prof. drg. Soeria Soemantri No.64","Tutup","· Buka Sel pukul 08.00","·","0838-2052-6709","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Layanan cepat, adminnya nice, tapi itu dulu.""","","","","","","",""
"https://www.google.com/maps/place/Widji/data=!4m7!3m6!1s0x2e68e64f83fe5d9d:0x64998b5d0ec0b544!8m2!3d-6.8996597!4d107.6097697!16s%2Fg%2F11b67jxd0_!19sChIJnV3-g0_maC4RRLXADl2LmWQ?authuser=0&hl=id&rclk=1","Widji","4,2","(127)","Layanan cetak digital","·","Jl. Tamansari No.62","Tutup","· Buka Sel pukul 09.00","·","0813-8388-8662","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Saya bukan orang Bandung dan mencari jasa","printing","via online.""","","","http://www.widjiprinting.com/","","Rute"
"https://www.google.com/maps/place/Rengga+Digital+printing/data=!4m7!3m6!1s0x2e68e687403f997b:0xdd1afd73d35fc7a3!8m2!3d-6.886715!4d107.581617!16s%2Fg%2F11b5yq2bvh!19sChIJe5k_QIfmaC4Ro8df03P9Gt0?authuser=0&hl=id&rclk=1","Rengga Digital printing","4,4","(48)","Toko Fotokopi","·","·","Tutup","· Buka Sel pukul 08.00","Jl. Prof. drg. Soeria Soemantri No.70A","0813-9569-9810","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bikin undangan di sini hasilnya memuaskan""","","","","·","","",""
"https://www.google.com/maps/place/Vector+Print+On+Demand/data=!4m7!3m6!1s0x2e68e8827c627d45:0xeb73159ef48e4a14!8m2!3d-6.9286085!4d107.6129437!16s%2Fg%2F11cn93kvqs!19sChIJRX1ifILoaC4RFEqO9J4Vc-s?authuser=0&hl=id&rclk=1","Vector Print On Demand","4,8","(943)","Percetakan Komersial","·","Jl. Lengkong Besar No.64H","Tutup","· Buka Sel pukul 08.00","·","0811-2342-051","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cepat respon, kualitas","print","bagus, harga murah.""","","","https://taplink.cc/vectorprint","","Rute"
"https://www.google.com/maps/place/GUNAJAYA+PRINTING+SARIWANGI/data=!4m7!3m6!1s0x2e68e54600d9333f:0x14b1f142b48bc77e!8m2!3d-6.8628016!4d107.5680293!16s%2Fg%2F11jsvbmbpz!19sChIJPzPZAEblaC4RfseLtELxsRQ?authuser=0&hl=id&rclk=1","GUNAJAYA PRINTING SARIWANGI","4,9","(201)","Toko Percetakan","·","Jl. Sariwangi Selatan No.136","Tutup","· Buka Sel pukul 09.00","·","0852-1351-2424","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""sangat bagusss, cuttingan rapih,","printing","jelas, WORTH IT!""","","","http://www.gunajayaprinting.com/","","Rute"
"https://www.google.com/maps/place/Fotocopy+dan+Print+Online+24+Jam/data=!4m7!3m6!1s0x2e68e7be93368b69:0x98247533747dec53!8m2!3d-6.888566!4d107.594216!16s%2Fg%2F11jnc_89yb!19sChIJaYs2k77naC4RU-x9dDN1JJg?authuser=0&hl=id&rclk=1","Fotocopy dan Print Online 24 Jam","4,9","(28)","Toko Fotokopi","·","Gg. Pak Elas No.11","Buka 24 jam","","·","0812-9685-3619","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Hasil","cetak","fotonya bagus banget.""","","","","",""
"https://www.google.com/maps/place/Jaya+Barokah+Fotokopi+%26+Print/data=!4m7!3m6!1s0x2e68e65d9279c49f:0xcbaf7088a7d3da54!8m2!3d-6.8939973!4d107.5986588!16s%2Fg%2F11fzb0dngj!19sChIJn8R5kl3maC4RVNrTp4hwr8s?authuser=0&hl=id&rclk=1","Jaya Barokah Fotokopi & Print","4,9","(15)","Toko Fotokopi","·","·","Buka","· Tutup pukul 23.00","Jl. Sederhana No.37","0821-3012-1100","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sangat memuaskan hasilnya🤩🙏""","","","","·","","",""
"https://www.google.com/maps/place/S-70+Printing/data=!4m7!3m6!1s0x2e68e704d12b924b:0xeb8eecc340d861e7!8m2!3d-6.8999258!4d107.6285087!16s%2Fg%2F11gmf0302c!19sChIJS5Ir0QTnaC4R52HYQMPsjus?authuser=0&hl=id&rclk=1","S-70 Printing","4,4","(233)","Toko Percetakan","·","Jl. Surapati No.70","Tutup","· Buka Sel pukul 08.15","·","0895-3818-87373","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""hasil bannernya bagus, harganya murah, prosesnya juga cepat.""","","","","","","",""
"https://www.google.com/maps/place/Banda+Printing+%26+Copy+Centre/data=!4m7!3m6!1s0x2e68e63593156a1b:0xa8002e18365408b8!8m2!3d-6.9054605!4d107.6168144!16s%2Fg%2F1hc102g94!19sChIJG2oVkzXmaC4RuAhUNhguAKg?authuser=0&hl=id&rclk=1","Banda Printing & Copy Centre","4,2","(93)","Toko Fotokopi","·","Jl. Banda No.32","Tutup","· Buka Sel pukul 08.00","·","(022) 4204957","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Hasil","print","bagus , pelayanan bagus , harga murah""","","","","",""
"https://www.google.com/maps/place/Raja+Printing+dan+Offset+202/data=!4m7!3m6!1s0x2e68e70b7cc47989:0x5fcce60e2758f716!8m2!3d-6.9220842!4d107.5887839!16s%2Fg%2F11j037h7d4!19sChIJiXnEfAvnaC4RFvdYJw7mzF8?authuser=0&hl=id&rclk=1","Raja Printing dan Offset 202","4,7","(338)","Layanan cetak digital","·","Jl. Pagarsih No.202","Tutup","· Buka Sel pukul 09.00","·","0821-2659-5788","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""hasil","print","bagus, cepat, dan murah 👍👍👍👍👍""","","","http://linktr.ee/rajaprintingoffset","","Rute"
"https://www.google.com/maps/place/Pasteur+Copy+Centre+%E2%80%A2+Sederhana/data=!4m7!3m6!1s0x2e68e65d7f7c8a8f:0xaabc614d1cba0aab!8m2!3d-6.8950658!4d107.598277!16s%2Fg%2F11b60xjj3q!19sChIJj4p8f13maC4Rqwq6HE1hvKo?authuser=0&hl=id&rclk=1","Pasteur Copy Centre • Sederhana","4,4","(270)","Toko Fotokopi","·","Jl. Sederhana No.7","Tutup","· Buka Sel pukul 08.00","·","(022) 2033839","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat nya nyaman untuk","print","atau fotocopy, parkiran luas, pegawai ramah""","","","","",""
"https://www.google.com/maps/place/R24+Jasa+Print,+ATK,+Service+PC+Laptop,+Media+Promo./data=!4m7!3m6!1s0x2e68e7f4af1435bd:0x7d12923df0a06622!8m2!3d-6.8823635!4d107.597858!16s%2Fg%2F11tc8kdh9q!19sChIJvTUUr_TnaC4RImag8D2SEn0?authuser=0&hl=id&rclk=1","R24 Jasa Print, ATK, Service PC Laptop, Media Promo.","5,0","(1)","Layanan cetak digital","·","Jl. Damar No.24, RT.05/RW.01","Segera tutup","· 22.00 · Buka Sel pukul 08.00","·","0817-212-761","","Rute","","","","","","","","",""
"https://www.google.com/maps/place/Titip+Print+-+Print+Online+Bandung/data=!4m7!3m6!1s0x2e68e7c4c4605563:0x121edbb8c2c04c67!8m2!3d-6.9063766!4d107.6059149!16s%2Fg%2F11fp1sjngt!19sChIJY1VgxMTnaC4RZ0zAwrjbHhI?authuser=0&hl=id&rclk=1","Titip Print - Print Online Bandung","5,0","(44)","Layanan cetak digital","·","Gg. Nangkasuni","Tutup","· Buka Sel pukul 09.00","·","0857-2006-9478","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempat","print","terbaik .. sat set kualitas mantap""","","","https://sites.google.com/view/titipprint","","Rute"
"https://www.google.com/maps/place/Lotus+Mandiri+Copy+Center/data=!4m7!3m6!1s0x2e68e6b958089eb5:0xf11c1bca38591bd4!8m2!3d-6.8613511!4d107.5919954!16s%2Fg%2F11f3hc3dn5!19sChIJtZ4IWLnmaC4R1BtZOMobHPE?authuser=0&hl=id&rclk=1","Lotus Mandiri Copy Center","4,2","(5)","Toko Fotokopi","·","Perpus UPI, Jl. M.A. Gazali","Tutup","· Buka Sel pukul 08.00","·","0896-7382-3285","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat luas, enak buat nyantai sambil beresin tugas""","","","","","","",""
