"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","doJOZc","W4Efsd 6","W4Efsd 7","UsdlK","lcr4fd href","Cw1rxd 2","R8c4Qb 2"
"https://www.google.com/maps/place/Indomaret+Setiabudi/data=!4m7!3m6!1s0x2e68e695caa14fff:0xdbdc8e8c0af48cf2!8m2!3d-6.8696877!4d107.5933673!16s%2Fg%2F11b5zzyt8b!19sChIJ_0-hypXmaC4R8oz0CoyO3Ns?authuser=0&hl=id&rclk=1","Indomaret Setiabudi","3,2","(72)","Minimarket","·","·","Jl. Dr. Setiabudi No.149","Buka 24 jam","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good, Neduh sambil ngopi mantap disini""","","","","","http://www.indomaret.co.id/","","Rute"
"https://www.google.com/maps/place/Starmart/data=!4m7!3m6!1s0x2e68e693271a9bb1:0x20756d250e5c3e60!8m2!3d-6.874535!4d107.596879!16s%2Fg%2F1hdyyrw_w!19sChIJsZsaJ5PmaC4RYD5cDiVtdSA?authuser=0&hl=id&rclk=1","Starmart","5,0","(1)","Minimarket","·","GF, Grand Setiabudi Hotel & Apartment, Jl. Dr. Setiabudi No.130-134","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nginep di GS enak banget""","","","","(022) 2035735","","",""
"https://www.google.com/maps/place/FamilyMart/data=!4m7!3m6!1s0x2e69f3f594ec6279:0x8f879baa8864d3c9!8m2!3d-6.2164066!4d106.837365!16s%2Fg%2F11bzsg5_xb!19sChIJeWLslPXzaS4RydNkiKqbh48?authuser=0&hl=id&rclk=1","FamilyMart","3,9","(86)","Minimarket","·","The 18th Residence Taman Rasuna, South, Jl. H. R. Rasuna Said No.RT.16, RT.16/RW.1","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Familymart 18th oke, pelayanan oke, mungkin bisa diperluas areanya""","","","","","","",""
"https://www.google.com/maps/place/Setiabudhi+Market+Summarecon+Bandung/data=!4m7!3m6!1s0x2e68c3b9b61fe6cf:0x9a0e967739c64a43!8m2!3d-6.95547!4d107.6925879!16s%2Fg%2F11sbkvd88y!19sChIJz-YftrnDaC4RQ0rGOXeWDpo?authuser=0&hl=id&rclk=1","Setiabudhi Market Summarecon Bandung","4,7","(172)","Toko bahan makanan","·","Jl. Akasia No.1 abc","·","Tutup","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat nya luas nyaman bersih produk import nya lengkap suka banyak promo""","","· Buka Sel pukul 07.30","","0811-1182-3288","http://setiabudhisupermarket.com/home","","Rute"
"https://www.google.com/maps/place/Alfamart+UPI+Ledeng+284/data=!4m7!3m6!1s0x2e68e7fff6e82d8f:0x1856b14f915291c3!8m2!3d-6.8596397!4d107.5949446!16s%2Fg%2F11b6d29zrp!19sChIJjy3o9v_naC4Rw5FSkU-xVhg?authuser=0&hl=id&rclk=1","Alfamart UPI Ledeng 284","4,0","(25)","Minimarket","·","·","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sangat terjangkau harga dan kualitas nya sangat baik""","","Jl. Dr. Setiabudi Kel No.284, RT.001/RW.003","·","(021) 1500959","","",""
"https://www.google.com/maps/place/FamilyMart+Rajawali+Place/data=!4m7!3m6!1s0x2e69f319867abd17:0xfc9dd574802da8e0!8m2!3d-6.2069441!4d106.8286504!16s%2Fg%2F11tj78hctd!19sChIJF716hhnzaS4R4KgtgHTVnfw?authuser=0&hl=id&rclk=1","FamilyMart Rajawali Place","4,3","(9)","Minimarket","·","Rajawali Place, RT.5/RW.1","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""karyawannya asikk""","","","","0858-1351-2559","","",""
"https://www.google.com/maps/place/MOVI+Setiabudi+%28Free+Ongkir%29/data=!4m7!3m6!1s0x2e69f40873e29a15:0x5bf4f6dcf18c7ad4!8m2!3d-6.2208835!4d106.8281436!16s%2Fg%2F11c2p_gd4b!19sChIJFZricwj0aS4R1HqM8dz29Fs?authuser=0&hl=id&rclk=1","MOVI Setiabudi (Free Ongkir)","5,0","(563)","Toko Rokok Elektrik","·","Jl Pedurenan Masjid Raya 7A.Setiabudi, RT.18/RW.2","·","Segera tutup","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan bagus tempat nyaman dan bersih, harga terjangkau""","","· 22.00 · Buka Sel pukul 10.00","","0815-8531-0903","http://movi.id/","","Rute"
"https://www.google.com/maps/place/Circle+K/data=!4m7!3m6!1s0x2e68e695953eed57:0xcbdd2a2a6a49e2f4!8m2!3d-6.8683043!4d107.5934518!16s%2Fg%2F11b5zzt_fp!19sChIJV-0-lZXmaC4R9OJJaioq3cs?authuser=0&hl=id&rclk=1","Circle K","2,8","(41)","Minimarket","·","4HJV+M9G, Jl. Dr. Setiabudi","·","Buka 24 jam","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""hari ini pihak circkle k dateng anterin combo daebak 1 FREE !!""","","","","0817-9000-003","http://circlekindo.com/","","Rute"
"https://www.google.com/maps/place/Setiabudi+One/data=!4m7!3m6!1s0x2e69f3f70540f90b:0xc88fe50dadb6c64!8m2!3d-6.2151499!4d106.8298937!16s%2Fg%2F11c5btjzbt!19sChIJC_lABffzaS4RZGzb2lD-iAw?authuser=0&hl=id&rclk=1","Setiabudi One","4,6","(9.155)","Pusat Perbelanjaan","·","·","Jl. H. R. Rasuna Said Blok Kav No.62, RT.18/RW.2","Segera tutup","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Murah Bersih dekat enak aman Nyaman""","","· 22.00 · Buka Sel pukul 10.00","·","(021) 5220568","http://www.jsi.co.id/","","Rute"
"https://www.google.com/maps/place/Vinyard+Setiabudi+One/data=!4m7!3m6!1s0x2e69f56ea29da96f:0xaf68dce4ac116e57!8m2!3d-6.2143912!4d106.8300847!16s%2Fg%2F11j4vbygdk!19sChIJb6mdom71aS4RV24RrOTcaK8?authuser=0&hl=id&rclk=1","Vinyard Setiabudi One","4,7","(54)","Toko Minuman Anggur","·","Jl. H. R. Rasuna Said, RT.18/RW.2","·","Buka","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good","","· Tutup pukul 02.30","","0811-1953-4167","http://www.vinyard.com/","","Rute"
"https://www.google.com/maps/place/Daily+Food+Hall/data=!4m7!3m6!1s0x2e69f3e4ad33c3ad:0xaeaa90605c58445e!8m2!3d-6.2275173!4d106.8243531!16s%2Fg%2F1yg4d1nj1!19sChIJrcMzreTzaS4RXkRYXGCQqq4?authuser=0&hl=id&rclk=1","Daily Food Hall","4,1","(126)","Toko bahan makanan","·","·","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bersih, cukup lengkap buat kebutuhan para expatriad, tersedia food court""","","Bellagio Mall, Jl. Mega Kuningan Barat No.5 Kav. E 4.3, RT.5/RW.2","","","","",""
"https://www.google.com/maps/place/Mini+Stop+Setiabudi/data=!4m7!3m6!1s0x2e69f4048b8f61d5:0xe0982a7c9e8a962c!8m2!3d-6.2092617!4d106.8249706!16s%2Fg%2F11b90jf2vf!19sChIJ1WGPiwT0aS4RLJaKnnwqmOA?authuser=0&hl=id&rclk=1","Mini Stop Setiabudi","","","Minimarket","·","Jl. Taman Setia Budi II No.1 4, RT.5/RW.3","","","","Rute","","Ambil di toko","","·","","(021) 5252074","","",""
"","","","","","","","","","","","","","","","","","","",""
