"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","AJB7ye","AJB7ye 2","doJOZc","W4Efsd 6","ah5Ghc","M4A5Cf","ah5Ghc 2","A1zNzb href","J8zHNe","bbPy1","M4A5Cf 2","ah5Ghc 3","Jn12ke src"
"https://www.google.com/maps/place/Domino%27s+Pizza+-+Kelapadua+Depok/data=!4m7!3m6!1s0x2e69ec43922d7df9:0xa74f90472a7bcf61!8m2!3d-6.3553352!4d106.84589!16s%2Fg%2F11c1pf3xsc!19sChIJ-X0tkkPsaS4RYc97KkeQT6c?authuser=0&hl=id&rclk=1","Domino's Pizza - Kelapadua Depok","4,4","(1.513)","Pizza","·","Jl. Rtm Jl. Klp. Dua Raya No.67, RT.002/RW.1","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGw60H4CelAZKpIhwItyxBKQGTwPjTkkubO1OQt9Wv05RNncoWVGnJn5mUM1dHpOhI09Z_eSiwJ9F6aOaA4Gn7WbmqcYWEOaopRem8lKH-5GHUjDiWasIPqYgeUOsabQ0OohxF_Mw=w80-h106-k-no","·","$$","","Resto pizza delivery yang berdiri lama","Makan di tempat","·","Bawa pulang","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjMXBmM3hzYxgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=CK_4aaSvJMzgseMPjpKEIQ&ei=CK_4aaSvJMzgseMPjpKEIQ&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Antar tanpa bertemu",""
"https://www.google.com/maps/place/PIZZA+BOXX/data=!4m7!3m6!1s0x2e69ef7493c57bd9:0xa5d43ca1ce873ec5!8m2!3d-6.3322583!4d106.7973266!16s%2Fg%2F11r_ntfr98!19sChIJ2XvFk3TvaS4RxT6HzqE81KU?authuser=0&hl=id&rclk=1","PIZZA BOXX","4,3","(103)","Pizza","","","Segera tutup","· 22.00 · Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGuL-hWPcdxRJ9vS-SJlyhCh2xKXYm-Lpw4u4W4zJ7RuHCa514h4fiL4iISmKAwoYsJXMFjG8p3fbaO0Z8RZxCjAWNvpG7MMJuFtv-Y1rqod41HneXwf1zL8KNFzJrZFTlOaDym=w80-h106-k-no","·","Rp 50–75 rb","","","Makan di tempat","·","Bawa pulang","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFyX250ZnI5OBgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=CK_4aaSvJMzgseMPjpKEIQ&ei=CK_4aaSvJMzgseMPjpKEIQ&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Antar tanpa bertemu",""
"https://www.google.com/maps/place/Pizza+Hut+Restoran/data=!4m7!3m6!1s0x2e69ebc0517adf29:0x485b9e0875458a88!8m2!3d-6.4034652!4d106.8361817!16s%2Fg%2F1td8ntzr!19sChIJKd96UcDraS4RiIpFdQieW0g?authuser=0&hl=id&rclk=1","Pizza Hut Restoran","4,6","(4.842)","Pizza","·","·","Segera tutup","· 22.00 · Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEpPBuLdORHdsL_Muy2bX7LdKgzPPU0p8HNfzW3t0b7MdueXXeJhJcdXLFyO35fF5XsUjZ-LkYccQDR-gSgSWRz4ZKQ8qLpjqUI8KTAYVhGyxt09juWFRVULVMhU46Yh2kXoD-M7w=w80-h106-k-no","·","$$","","Jl. Tole Iskandar No.8C","Makan di tempat","·","Bawa pulang","https://www.google.com/searchviewer/42?cvd=CLw_EiUKI-ICIDIeEhciFdLX29IPDwoLL2cvMXRkOG50enIYADoDCPAN&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=CK_4aaSvJMzgseMPjpKEIQ&ei=CK_4aaSvJMzgseMPjpKEIQ&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Antar tanpa bertemu",""
"https://www.google.com/maps/place/Gotti+Pizza+%26+Coffee+Sukmajaya/data=!4m7!3m6!1s0x2e69eb7f52f49b2b:0x9e518cd8c1f678f3!8m2!3d-6.3852569!4d106.8392857!16s%2Fg%2F11j6bhfqpj!19sChIJK5v0Un_raS4R83j2wdiMUZ4?authuser=0&hl=id&rclk=1","Gotti Pizza & Coffee Sukmajaya","4,7","(1.741)","Pizza","·","·","Segera tutup","· 22.00 · Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHbacQUIFzOL20EARI_N195zermk2Yja_OA7RZXk-yTVxv_tCMEv_gHTktFNnnFPoNWeoULsmYirJnbjw8zNh5kUoiJgZA-rrGsDw-3m-6yw780p1TAQ1XZJrtbg9lRANPz9EfLmQ=w163-h92-k-no","·","$$","","Jl. K.H.M. Yusuf Raya No.8","Makan di tempat","·","Bawa pulang","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFqNmJoZnFwahgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=CK_4aaSvJMzgseMPjpKEIQ&ei=CK_4aaSvJMzgseMPjpKEIQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Pesan antar",""
"https://www.google.com/maps/place/Pizza+Boxx+Tugu+Kelapa+dua/data=!4m7!3m6!1s0x2e69ed006a7d4aef:0x4d5726d14981f42c!8m2!3d-6.3542867!4d106.839088!16s%2Fg%2F11y431l4v9!19sChIJ70p9agDtaS4RLPSBSdEmV00?authuser=0&hl=id&rclk=1","Pizza Boxx Tugu Kelapa dua","3,6","(28)","Italia","·","Jl. Komjen. Pol. M. Jasin No.34","Segera tutup","· 22.00 · Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE6a_UKKyqb4E_lgKmK7LXzi0vsbb1LbQmJi57WFkjnpqNJ2kgMoN6dTYWGZyfp9AsqewhLdczbdze12HCAts0_KtwmD3MZU7MHOUfZFIt4SoYjZRuHgd7P3Q6N-NV1_iwmkSI=w80-h106-k-no","","","","","Makan di tempat","·","Bawa pulang","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5NDMxbDR2ORgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=CK_4aaSvJMzgseMPjpKEIQ&ei=CK_4aaSvJMzgseMPjpKEIQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Antar tanpa bertemu",""
"https://www.google.com/maps/place/PIZZA+ZAHRA+THORIQ/data=!4m7!3m6!1s0x2e69ef0063c6e0e1:0x1683cf796501d1e1!8m2!3d-6.3665255!4d106.8136229!16s%2Fg%2F11y3nrf6dy!19sChIJ4eDGYwDvaS4R4dEBZXnPgxY?authuser=0&hl=id&rclk=1","PIZZA ZAHRA THORIQ","5,0","(3)","Pizza","·","Asri Residence, Pd. Kukusan Permai No.a17","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH1EedfyDGg9e1uTBW4On9K4JELOQvCTm4AWpRNEueZkJdvLqvX4Is3dBgWGKcrjcDUO3zAmSbZYF27wFel0ojmxZrsduiR01re18aoG5MEL06JK_5IU0Iz_yYyiOq254JMV43bKfcsc-DB=w80-h106-k-no","","","","","Makan di tempat","·","Bawa pulang","","","","·","Antar tanpa bertemu",""
"https://www.google.com/maps/place/Pizza+Hut+Restoran+-+Depok+Town+Center/data=!4m7!3m6!1s0x2e69e9388a21cd29:0x9317405dc032563!8m2!3d-6.3947519!4d106.7932758!16s%2Fg%2F1pzpy17l9!19sChIJKc0hijjpaS4RYyUD3AV0MQk?authuser=0&hl=id&rclk=1","Pizza Hut Restoran - Depok Town Center","4,6","(1.891)","Pizza","·","Depok Town Center, Jl. Raya Sawangan No.1 Lt.2","Segera tutup","· 22.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGetzp3k35iZTYWdWz26o2mEZ3S_UBMeHfElYZ2C_BX2xITpiD-qkRumfPN0ypHfa_9GU5QLkud6AieL_KhMf-Jj1hknQ6nJP8xJ0XfKRWLDwgyYpUvBkAKXmTzPtA1tM7LhAg=w163-h92-k-no","·","$$","","Franchise piza dengan beragam pilihan","Makan di tempat","·","Bawa pulang","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMXB6cHkxN2w5GAA6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=CK_4aaSvJMzgseMPjpKEIQ&ei=CK_4aaSvJMzgseMPjpKEIQ&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Antar tanpa bertemu",""
"https://www.google.com/maps/place/Domino%27s+Pizza/data=!4m7!3m6!1s0x2e69e9be806ba9bb:0x22d352111c1d3229!8m2!3d-6.3871864!4d106.8141389!16s%2Fg%2F11xfv980xk!19sChIJu6lrgL7paS4RKTIdHBFS0yI?authuser=0&hl=id&rclk=1","Domino's Pizza","4,3","(102)","Pizza","·","Jl Nusantara Raya, RT4, RW.10","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHcEj7iSMuLrD0xXp-oHnthKGTTndQGlJZhiuTwXdr9zj8OBXUhGcs-lNo6U3oaRc2oTKF28jv6K_CoDubMl8ySuRAzrJ-J-X6IyAeyKU0DBlq4QNI3jyiDZDINnW24IfO-PnCtaZYSvQLX=w122-h92-k-no","·","$$","","Resto pizza delivery yang berdiri lama","Makan di tempat","·","Bawa pulang","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF4ZnY5ODB4axgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=CK_4aaSvJMzgseMPjpKEIQ&ei=CK_4aaSvJMzgseMPjpKEIQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Antar tanpa bertemu",""
"https://www.google.com/maps/place/Pizza+Boxx/data=!4m7!3m6!1s0x2e69eb649ce8ffcf:0xa458bb1ce62a1ed0!8m2!3d-6.3922912!4d106.8391962!16s%2Fg%2F11h92s57d9!19sChIJz__onGTraS4R0B4q5hy7WKQ?authuser=0&hl=id&rclk=1","Pizza Boxx","4,4","(252)","Pizza","·","Jl. Proklamasi No.1","Segera tutup","· 22.00 · Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHmfPaADLWOU3rRM0byGDwKIyH06rp8-B0qo6JLEWM--1mUOMGqes9B7SWCH4Rfr2ytFlE_br75vNjn440GsD1a09hM262cE5ICliOSBomFlO-uequpwahnM4ngCkkenZ743idNqA=w122-h92-k-no","·","Rp 25–50 rb","","","Makan di tempat","·","Bawa pulang","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoOTJzNTdkORgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=CK_4aaSvJMzgseMPjpKEIQ&ei=CK_4aaSvJMzgseMPjpKEIQ&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Antar tanpa bertemu",""
"https://www.google.com/maps/place/Bread+John+Pizza+Kantin+Raden+Saleh,+Depan+RS.+HGA-+Sukmajaya/data=!4m7!3m6!1s0x2e69ebbdbfbedc27:0x1b8e5cca027217ae!8m2!3d-6.4085109!4d106.8402352!16s%2Fg%2F11hh3llffz!19sChIJJ9y-v73raS4RrhdyAspcjhs?authuser=0&hl=id&rclk=1","Bread John Pizza Kantin Raden Saleh, Depan RS. HGA- Sukmajaya","4,8","(67)","Pizza","·","Depan RS. HGA, Jl. Raden Saleh Kantin Raden Saleh No.2","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEK5NBR0o8FYAJk0d7pog0yTWhywNpjSJjIlKlel34FQG1fz6RST5AiXmKC3f0rEljbdrefO0cdImNPG7TzTD3hJMcu6IHMH4uIT9J3mzpYgGRKy80rTrQoTmlmKQXM0RqT8PpWCQ=w80-h106-k-no","·","Rp 25–50 rb","","","Makan di tempat","·","Bawa pulang","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoaDNsbGZmehgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=CK_4aaSvJMzgseMPjpKEIQ&ei=CK_4aaSvJMzgseMPjpKEIQ&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","·","Antar tanpa bertemu",""
"https://www.google.com/maps/place/Pizza+Hut+Delivery+-+PHD+Indonesia/data=!4m7!3m6!1s0x2e69ec0f3247c215:0x980ee0e5bccd4ce0!8m2!3d-6.4045254!4d106.8412853!16s%2Fg%2F1tdfqklg!19sChIJFcJHMg_saS4R4EzNvOXgDpg?authuser=0&hl=id&rclk=1","Pizza Hut Delivery - PHD Indonesia","4,6","(968)","Stan Pizza","·","·","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHffNQxURYge9lguY8ZqEMJOBxjEvkHipIsKnl-oKy-_csthefRQT3ATkpcn2h1ExaNGf3jT2OutezjK7erzrCJvYTVPcsU3LZGbL3L8PaX6vy69eNvIeicEmd5NI-5f-PDHvlhiWfaLnzG=w80-h119-k-no","·","$$","","Jl. Tole Iskandar No.47, RT.06/RW.01","Bawa pulang","·","Antar tanpa bertemu","https://www.google.com/searchviewer/42?cvd=CLw_EiUKI-ICIDIeEhciFdLX29IPDwoLL2cvMXRkZnFrbGcYADoDCPAN&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=CK_4aaSvJMzgseMPjpKEIQ&ei=CK_4aaSvJMzgseMPjpKEIQ&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","",""
"https://www.google.com/maps/place/Pizza+Tarik+Limo+Depok/data=!4m7!3m6!1s0x2e69ef000103f6bf:0x9082fcc52b2f2c93!8m2!3d-6.3675388!4d106.7747923!16s%2Fg%2F11xn9ncnrf!19sChIJv_YDAQDvaS4RkywvK8X8gpA?authuser=0&hl=id&rclk=1","Pizza Tarik Limo Depok","4,6","(37)","Toko Roti","·","Jl. Limo Raya No.36, RT.3/RW.2","Segera tutup","· 21.45 · Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEdgTC-sV59WKXUT-SVd_Hl0DC-3isDUC7gSFbQ2Q07zDB8kShBZ7_fFnXao5EPjUg9cQsGqw9SonsflO65vzYqUeDJwtioLcWym7x5S36bD8AwNZALXRqMoflMO7tVMr-Kg9jBuGQh4czF=w80-h106-k-no","·","Rp 1–25.000","","","Bawa pulang","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF4bjluY25yZhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=CK_4aaSvJMzgseMPjpKEIQ&ei=CK_4aaSvJMzgseMPjpKEIQ&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","",""
"https://www.google.com/maps/place/Pizza+P-Plus/data=!4m7!3m6!1s0x2e69eb93b66bca6f:0x7e246e781196c9d1!8m2!3d-6.4112454!4d106.7990436!16s%2Fg%2F11n16zj7qq!19sChIJb8prtpPraS4R0cmWEXhuJH4?authuser=0&hl=id&rclk=1","Pizza P-Plus","4,9","(82)","Pizza","·","Jl. Kemang No.17, RT.03/RW.19","Tutup","· Buka Sel pukul 12.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAENDgiKvDI_-ZICcsPguuIGx-9LXiBVsp03pu8Ej8EGKW7WNiqRpa2VNXTYuIqBK9b5u2Iwtx2chk4zoJu21MpGO9c4hxawG1365eyGbMIj23qGMnHuMaFkdYL85X7nFNYP05YZ=w163-h92-k-no","·","Rp 25–50 rb","","","""Pizzanya terjangkau, namun rasanya enak.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFuMTZ6ajdxcRgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Ea_4adzEKpCeseMP0qjW6Aw&ei=Ea_4adzEKpCeseMP0qjW6Aw&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
