"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd 2","R8c4Qb 2","doJOZc","W4Efsd 7"
"https://www.google.com/maps/place/Al+Hikam+Mart/data=!4m7!3m6!1s0x2e69ec21ce2d7aa3:0xc0d1240e26f6c5fb!8m2!3d-6.3599003!4d106.8213434!16s%2Fg%2F11cs5sjg2t!19sChIJo3otziHsaS4R-8X2Jg4k0cA?authuser=0&hl=id&rclk=1","Al Hikam Mart","4,7","(148)","Minimarket","·","·","Segera tutup","· 22.00 · Buka Sel pukul 06.30","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""ada jasa laundry juga""","Jl. H. Amat No.21","0857-1694-8453","","","","","·"
"https://www.google.com/maps/place/FamilyMart+Akses+Ui+Kelapa+Dua/data=!4m7!3m6!1s0x2e69ed004023387b:0xd8fc648f9dbf25ef!8m2!3d-6.3543186!4d106.8366585!16s%2Fg%2F11x5s2fqb9!19sChIJezgjQADtaS4R7yW_nY9k_Ng?authuser=0&hl=id&rclk=1","FamilyMart Akses Ui Kelapa Dua","3,1","(125)","Minimarket","·","Ruko River View, Jl. Akses UI No.05","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bersih bangett di pel selalu sama mba² nyaa, pelayanan nya oke juga good""","","","","","","",""
"https://www.google.com/maps/place/Indomaret+Akses+UI+3/data=!4m7!3m6!1s0x2e69ec38cce786a9:0xabc3eda2f39ee852!8m2!3d-6.3546977!4d106.8395139!16s%2Fg%2F1ptx_670t!19sChIJqYbnzDjsaS4RUuie86Ltw6s?authuser=0&hl=id&rclk=1","Indomaret Akses UI 3","3,9","(11)","Minimarket","·","Satria 2nd Building, Jl. Akses UI","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Standar indomart pada umumnya lah ya""","·","(021) 87720665","https://indomaret.co.id/","","Rute","",""
"https://www.google.com/maps/place/Indomaret+Fresh+Akses+UI+2/data=!4m7!3m6!1s0x2e69ede2461b26d3:0xcca2a409a6f60c1f!8m2!3d-6.3552641!4d106.8522577!16s%2Fg%2F11fsw8820z!19sChIJ0yYbRuLtaS4RHwz2pgmkosw?authuser=0&hl=id&rclk=1","Indomaret Fresh Akses UI 2","3,7","(73)","Minimarket","·","Jl. Akses UI Gg. Buhar No.8 B","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Saku Kopi cara ""pintar"" minum kopi...

Murah meriah bahagia 😀""","","","","","","",""
"https://www.google.com/maps/place/Indomaret+Plus+Akses+Ui/data=!4m7!3m6!1s0x2e69ec38d0c767c7:0xe6af565b73d66366!8m2!3d-6.3547006!4d106.8404468!16s%2Fg%2F1tmwkz1p!19sChIJx2fH0DjsaS4RZmPWc1tWr-Y?authuser=0&hl=id&rclk=1","Indomaret Plus Akses Ui","4,6","(12)","Minimarket","·","·","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lumayan luas, bisa parkir mobil & motor""","Jl. Akses Ui No 26 Rt 02/09 Tugu, Pasir Gunung Selatan, Cimanggis","0816-500-580","","","","","·"
"https://www.google.com/maps/place/Family+Mart+RSUI/data=!4m7!3m6!1s0x2e69ed0058d266cd:0xe0a3650aab33b186!8m2!3d-6.3728642!4d106.8287079!16s%2Fg%2F11y30xzzfc!19sChIJzWbSWADtaS4RhrEzqwplo-A?authuser=0&hl=id&rclk=1","Family Mart RSUI","2,0","(316)","Minimarket","·","Jl. Pembangunan No.1","Segera tutup","· 22.00 · Buka Sel pukul 06.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan oke, cuma memang sedikit selalu ramai 😊""","","","","","","",""
"https://www.google.com/maps/place/Indomaret/data=!4m7!3m6!1s0x2e69ec38b34088bd:0xe718c4c8099d20db!8m2!3d-6.3546977!4d106.8404924!16s%2Fg%2F1ptwrbxj5!19sChIJvYhAszjsaS4R2yCdCcjEGOc?authuser=0&hl=id&rclk=1","Indomaret","3,6","(20)","Minimarket","·","·","Buka","· Tutup pukul 23.00","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Biasanya ga segini encernya sih😩😵‍💫""","·","(021) 87715465","https://www.indomaret.co.id/","","Rute","","Jl. Akses UI No.60B"
"https://www.google.com/maps/place/Indomaret+%7C+Kukusan+-+F28U/data=!4m7!3m6!1s0x2e69ee9fe8847525:0xd273c1b4b936d3f9!8m2!3d-6.3596441!4d106.8171667!16s%2Fg%2F1q673s3lv!19sChIJJXWE6J_uaS4R-dM2ubTBc9I?authuser=0&hl=id&rclk=1","Indomaret | Kukusan - F28U","4,1","(66)","Minimarket","·","Jl. K.H.M. Usman No.29 1","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lokasi sangat strategis
Pelayanan tetap bagus""","·","0889-1257-744","https://indomaret.co.id/","","Rute","",""
"https://www.google.com/maps/place/Alfamidi+Kukusan+MH75+Depok/data=!4m7!3m6!1s0x2e69ef7776d4007d:0x2b74690add4bc572!8m2!3d-6.3661144!4d106.8136663!16s%2Fg%2F11hm4trgdd!19sChIJfQDUdnfvaS4RcsVL3QppdCs?authuser=0&hl=id&rclk=1","Alfamidi Kukusan MH75 Depok","4,3","(251)","Minimarket","·","Jl. K.H.M. Usman No.8, RT.2/RW.6","Buka 24 jam","","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan bagus,toilet baru,harga murah,stap ramah dan baik hati""","·","0812-8072-4655","https://alfamidiku.com/","","Rute","",""
"https://www.google.com/maps/place/Indomaret+Palakali/data=!4m7!3m6!1s0x2e69ec1da29313a9:0x78f52b506642eb7c!8m2!3d-6.3678889!4d106.8196716!16s%2Fg%2F1ygbb7pjx!19sChIJqROToh3saS4RfOtCZlAr9Xg?authuser=0&hl=id&rclk=1","Indomaret Palakali","3,9","(121)","Minimarket","·","·","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""My Love life saver terimakasih sudah hadir di depan kos aku💓💓""","·","(021) 7866987","http://indomaret.co.id/","","Rute","","Jl. Palakali No.66"
"https://www.google.com/maps/place/FamilyMart+Apt+Margonda+2/data=!4m7!3m6!1s0x2e69ec1696530cd7:0xe9badd2e366bbfb4!8m2!3d-6.363313!4d106.835002!16s%2Fg%2F11gfh9z5vk!19sChIJ1wxTlhbsaS4RtL9rNi7duuk?authuser=0&hl=id&rclk=1","FamilyMart Apt Margonda 2","3,8","(254)","Minimarket","·","Margonda Raya, Apartemen Margonda Residence 1 Dan 2 (Seberang Rm Mang Kabayan","Segera tutup","· 22.00 · Buka Sel pukul 06.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kecil tapi lengkap, sayang ga jualan es family mart.""","","","","","","",""
"https://www.google.com/maps/place/QITA+MART+-KUKUSAN+BEJI+DEPOK/data=!4m7!3m6!1s0x2e69ef0015d6ad8f:0x237a63d856b4af48!8m2!3d-6.3599986!4d106.8167713!16s%2Fg%2F11y2p6ngn8!19sChIJj63WFQDvaS4RSK-0VthjeiM?authuser=0&hl=id&rclk=1","QITA MART -KUKUSAN BEJI DEPOK","4,1","(8)","Minimarket","·","Jl. K.H.M. Usman No.38","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Perbaiki lagi dah harganya.""","·","0814-1235-2879","","","","",""
"https://www.google.com/maps/place/Indomaret+Kober/data=!4m7!3m6!1s0x2e69ec1625221939:0xca8e7d96819837e!8m2!3d-6.360583!4d106.8335239!16s%2Fg%2F1pzv3kjt_!19sChIJORkiJRbsaS4RfoMZaNnnqAw?authuser=0&hl=id&rclk=1","Indomaret Kober","4,2","(384)","Minimarket","·","·","Buka 24 jam","","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""lengkap, adem, parkirnya enak, ada kopi roti sama buah""","·","(021) 1500580","http://indomaret.co.id/","","Rute","","Jl. Margonda No.504"
"https://www.google.com/maps/place/MM+Cipta+Lestari/data=!4m7!3m6!1s0x2e69eea05b89814d:0x40b3360398779538!8m2!3d-6.3629398!4d106.8159926!16s%2Fg%2F1q67d77_z!19sChIJTYGJW6DuaS4ROJV3mAM2s0A?authuser=0&hl=id&rclk=1","MM Cipta Lestari","4,3","(4)","Minimarket","·","Jl. K.H.M. Usman No.73","Segera tutup","· 22.30 · Buka Sel pukul 07.00","","Rute","","","·","0812-9550-9406","","","","",""
"https://www.google.com/maps/place/Indomaret+Kukusan+2+Depok/data=!4m7!3m6!1s0x2e69eea1338ade05:0x42c6ec65dd320643!8m2!3d-6.3657338!4d106.8137979!16s%2Fg%2F11fy2q6t04!19sChIJBd6KM6HuaS4RQwYy3WXsxkI?authuser=0&hl=id&rclk=1","Indomaret Kukusan 2 Depok","4,0","(55)","Minimarket","·","JRM7+PG3","Segera tutup","· 22.00 · Buka Sel pukul 08.00","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""kalau ada item yg blm ready tolong blg butuh waktu utk serve.""","","","https://indomaret.co.id/","","Rute","",""
"https://www.google.com/maps/place/Indomaret+Margonda+5+Depok/data=!4m7!3m6!1s0x2e69ec3d85e44c1d:0x592d4a82129a834e!8m2!3d-6.3580702!4d106.8328364!16s%2Fg%2F1hm4zq3kw!19sChIJHUzkhT3saS4RToOaEoJKLVk?authuser=0&hl=id&rclk=1","Indomaret Margonda 5 Depok","4,1","(38)","Minimarket","·","Jl. Margonda No.535D","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan nya baik², ramah banget.""","","","http://indomaret.co.id/","","Rute","",""
"https://www.google.com/maps/place/WR+Sumiyati/data=!4m7!3m6!1s0x2e69ec38d9c8224b:0xa51d70da5975e2e!8m2!3d-6.3545032!4d106.8387058!16s%2Fg%2F1ptzy26fp!19sChIJSyLI2TjsaS4RLl6XpQ3XUQo?authuser=0&hl=id&rclk=1","WR Sumiyati","5,0","(2)","Minimarket","·","Jl. Akses UI No.30b, RW.1","Buka","· Tutup pukul 23.00","","Rute","","","·","0813-1134-7827","","","","",""
"https://www.google.com/maps/place/Indomaret+%7C+Beji+-+Kota+Depok+%7C+Bambon+Raya/data=!4m7!3m6!1s0x2e69ec004f43b6c7:0x34182085d52cdd8d!8m2!3d-6.3791139!4d106.8197988!16s%2Fg%2F11b5qr1x9j!19sChIJx7ZDTwDsaS4Rjd0s1YUgGDQ?authuser=0&hl=id&rclk=1","Indomaret | Beji - Kota Depok | Bambon Raya","4,4","(224)","Minimarket","·","JRC9+9W3, Jl. Bambon Raya","Segera tutup","· 22.00 · Buka Sel pukul 06.30","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nyaman pelayanan bagus karyawan ramah""","·","0815-1000-0997","http://www.indomaret.co.id/","","Rute","",""
"https://www.google.com/maps/place/Indomaret+Lucky+Abadi/data=!4m7!3m6!1s0x2e69ec69fcb7a707:0xba0aaac7ff96ef92!8m2!3d-6.3615143!4d106.8488452!16s%2Fg%2F1pzrc30pw!19sChIJB6e3_GnsaS4Rku-W_8eqCro?authuser=0&hl=id&rclk=1","Indomaret Lucky Abadi","4,1","(29)","Minimarket","·","Komplek Timah, Lucky Abadi Blok GG/7 No.A-C","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""ceria mart sekarang sdh berganti nama indomaret .""","","","","","","",""
"https://www.google.com/maps/place/Indomaret+Yahya+Nuih+Depok/data=!4m7!3m6!1s0x2e69ec11c2d6e9db:0xa8e9a36f21ef01ab!8m2!3d-6.3698821!4d106.8338687!16s%2Fg%2F11dyqy72_q!19sChIJ2-nWwhHsaS4RqwHvIW-j6ag?authuser=0&hl=id&rclk=1","Indomaret Yahya Nuih Depok","4,2","(118)","Minimarket","·","·","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Apa lg klo pake mobil.""","","","https://indomaret.co.id/","","Rute","","Blok Yahya Nuh, Jl. Margonda Blok Yahya Nuh No.388"
"https://www.google.com/maps/place/Indomaret+Kukusan+3+Depok/data=!4m7!3m6!1s0x2e69ec1effffffc7:0xae48ae3353ec0183!8m2!3d-6.3635983!4d106.815752!16s%2Fg%2F1q66y5psk!19sChIJx____x7saS4RgwHsUzOuSK4?authuser=0&hl=id&rclk=1","Indomaret Kukusan 3 Depok","3,9","(62)","Minimarket","·","·","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Yg bikin males mampir ke sini karena ada tukang parkir🫠""","·","(021) 1500580","http://indomaret.co.id/","","Rute","","Jl. K.H.M. Usman No.29"
"https://www.google.com/maps/place/INDOMARET+FRESH+AKSES+UI+5/data=!4m7!3m6!1s0x2e69ed000d39d3d9:0x3f147a2d98d2715e!8m2!3d-6.3547652!4d106.8404166!16s%2Fg%2F11n9x7dv1l!19sChIJ2dM5DQDtaS4RXnHSmC16FD8?authuser=0&hl=id&rclk=1","INDOMARET FRESH AKSES UI 5","2,0","(2)","Pusat Perbelanjaan","·","Jl. Akses UI Jl. Klp. Dua Raya No.46","","","","Rute","","","","","","","","",""
"https://www.google.com/maps/place/Alfamart+Kedondong/data=!4m7!3m6!1s0x2e69ebf85b36bf17:0xef75c69240501c4a!8m2!3d-6.3824885!4d106.8274134!16s%2Fg%2F11bxc78nn7!19sChIJF782W_jraS4RShxQQJLGde8?authuser=0&hl=id&rclk=1","Alfamart Kedondong","4,3","(254)","Minimarket","·","·","Buka","· Tutup pukul 23.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""toko bersih sekali sangat nyaman😘""","Jl. Kedondong No.4, RT.001/RW.15","1 500 959","","","","","·"
"https://www.google.com/maps/place/Alfamart/data=!4m7!3m6!1s0x2e69ec1d99d1f467:0x9b0ff3deeb38e93e!8m2!3d-6.3678382!4d106.8191444!16s%2Fg%2F11c0xnz3fw!19sChIJZ_TRmR3saS4RPuk4697zD5s?authuser=0&hl=id&rclk=1","Alfamart","3,7","(42)","Minimarket","·","·","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat belanja langganan....""","Jl. Palakali Kel No.56, RT.01/RW.07","1 500 959","","","","","·"
"https://www.google.com/maps/place/Alfamart+Margonda+Raya/data=!4m7!3m6!1s0x2e69ec164f44bb29:0x87f0144f371698e5!8m2!3d-6.3615673!4d106.8333416!16s%2Fg%2F1hm519r9l!19sChIJKbtETxbsaS4R5ZgWN08U8Ic?authuser=0&hl=id&rclk=1","Alfamart Margonda Raya","4,0","(68)","Minimarket","·","·","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Recommended!!!""","Jl. Margonda No.Kel Blok C4","1 500 959","","","","","·"
"https://www.google.com/maps/place/Lawson+Kelapa+Dua+Depok/data=!4m7!3m6!1s0x2e69ed11c683443f:0x1a5ad9eee7b95883!8m2!3d-6.3547163!4d106.8405207!16s%2Fg%2F11gyysm5_v!19sChIJP0SDxhHtaS4Rg1i55-7ZWho?authuser=0&hl=id&rclk=1","Lawson Kelapa Dua Depok","3,5","(75)","Minimarket","·","samping Gunadarma E, Jl. Akses UI Jl. Klp. Dua Raya No.30","Segera tutup","· 22.00 · Buka Sel pukul 07.30","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""convenience shop yang convenience.""","","","","","","",""
"https://www.google.com/maps/place/Idolmart+Beji+Depok/data=!4m7!3m6!1s0x2e69eea93fed0dd9:0xc3b0b056173f7bd6!8m2!3d-6.3769612!4d106.813735!16s%2Fg%2F11c1s3r622!19sChIJ2Q3tP6nuaS4R1ns_F1awsMM?authuser=0&hl=id&rclk=1","Idolmart Beji Depok","4,4","(298)","Minimarket","·","·","Tutup","· Buka Sel pukul 09.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Banyak pernak pernik untuk kado dll""","16425, Jl. H. Asmawi No.54","0813-1914-1073","","","","","·"
"https://www.google.com/maps/place/Indomaret+Permata+Puri+Laguna+Depok/data=!4m7!3m6!1s0x2e69ec8706cca595:0x2d788ca382a8dfea!8m2!3d-6.3718966!4d106.8677075!16s%2Fg%2F11cm_gns2h!19sChIJlaXMBofsaS4R6t-ogqOMeC0?authuser=0&hl=id&rclk=1","Indomaret Permata Puri Laguna Depok","4,4","(253)","Minimarket","·","JVH9+63W, Jl. Permata Puri Laguna","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","","","","","",""
"https://www.google.com/maps/place/Alfamart+Ridwan+Rais+2/data=!4m7!3m6!1s0x2e69ebe7f4b8afdf:0x2c9badb2b37abb15!8m2!3d-6.3847331!4d106.8203567!16s%2Fg%2F11j4pvxv0n!19sChIJ36-49OfraS4RFbt6s7Ktmyw?authuser=0&hl=id&rclk=1","Alfamart Ridwan Rais 2","4,1","(84)","Minimarket","·","·","Buka","· Tutup pukul 23.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""kalo bisa jgn ada tukang parkir""","Alfamart, Jl. Ridwan Rais","","","","","",""
"https://www.google.com/maps/place/Warung+Muhamad/data=!4m7!3m6!1s0x2e69ec3f53d53bc9:0xd15c6a748b44061b!8m2!3d-6.355138!4d106.840888!16s%2Fg%2F1q2wjyph8!19sChIJyTvVUz_saS4RGwZEi3RqXNE?authuser=0&hl=id&rclk=1","Warung Muhamad","","","Minimarket","·","Jl. Akses UI No.170","Segera tutup","· 22.00 · Buka Sel pukul 08.00","","Rute","","","·","(021) 8728556","","","","",""
"https://www.google.com/maps/place/Universitas+Indonesia/data=!4m7!3m6!1s0x2e69ec1a804e8b85:0xd7bf80e1977cea07!8m2!3d-6.3606229!4d106.8272343!16zL20vMDF6bHJ2!19sChIJhYtOgBrsaS4RB-p8l-GAv9c?authuser=0&hl=id&rclk=1","Universitas Indonesia","4,7","(7.304)","Universitas Negeri","·","·","Tutup","· Buka Sel pukul 08.00","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kampusnya luas,  banyak ruang terbuka hijau.""","Universitas dengan fokus sains & riset","(021) 7867222","http://www.ui.ac.id/","","Rute","","Jl. Lingkar"
"https://www.google.com/maps/place/Alfamidi+Raya+RTM/data=!4m7!3m6!1s0x2e69ec40b933ee47:0xd42fb89566894acb!8m2!3d-6.3557088!4d106.8426622!16s%2Fg%2F1ptzzyf0v!19sChIJR-4zuUDsaS4Ry0qJZpW4L9Q?authuser=0&hl=id&rclk=1","Alfamidi Raya RTM","3,8","(144)","Minimarket","·","·","Buka 24 jam","","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Parkiran nya luas, pelayanan nya ramah banget.""","·","0815-8276-662","http://www.alfamidiku.com/","","Rute","","RT.06/09, Jl. Lebak"
"https://www.google.com/maps/place/Indomaret+%7C+Beji+-+Kota+Depok/data=!4m7!3m6!1s0x2e69e955dffbce31:0xbf2dba7648af0f42!8m2!3d-6.3862269!4d106.8163839!16s%2Fg%2F11b5rdq3qx!19sChIJMc7731XpaS4RQg-vSHa6Lb8?authuser=0&hl=id&rclk=1","Indomaret | Beji - Kota Depok","4,0","(93)","Minimarket","·","·","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kalo soal harga itu standar, gak jauh beda dengan mart mart yang lain""","·","0815-1000-0997","http://www.indomaret.co.id/","","Rute","","Jl. Kembang Beji No.37"
"https://www.google.com/maps/place/Indomaret+Minimarket/data=!4m7!3m6!1s0x2e69ec881efcd5a9:0xcef42c74024580e8!8m2!3d-6.3686911!4d106.8652344!16s%2Fg%2F11b5plhbdh!19sChIJqdX8HojsaS4R6IBFAnQs9M4?authuser=0&hl=id&rclk=1","Indomaret Minimarket","4,5","(259)","Minimarket","·","Jl. Tiga Berlian Raya No.152 blok c6","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Parkir gratis dan ada ATM""","","","https://indomaret.co.id/","","Rute","",""
"https://www.google.com/maps/place/Alfamart+Pesona+Khayangan+Depok/data=!4m7!3m6!1s0x2e69eb8ab6abd53f:0x23caa58d0c50eea7!8m2!3d-6.3813804!4d106.8418905!16s%2Fg%2F1hm35tfvc!19sChIJP9WrtorraS4Rp-5QDI2lyiM?authuser=0&hl=id&rclk=1","Alfamart Pesona Khayangan Depok","4,2","(205)","Minimarket","·","·","Buka 24 jam","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lengkap banget ada kopi hangat nya juga pas buat istirahat""","Ruko Pesona Kahyangan Kel","1 500 959","","","","","·"
"https://www.google.com/maps/place/UI+Store/data=!4m7!3m6!1s0x2e69ec1756b8ee05:0xd38f17aa7d62733c!8m2!3d-6.3650108!4d106.8300082!16s%2Fg%2F11hbvybkw7!19sChIJBe64VhfsaS4RPHNifaoXj9M?authuser=0&hl=id&rclk=1","UI Store","4,5","(22)","Toko Pakaian","·","JRMJ+X2R Crystal of Knowledge UI","Tutup","· Buka Sel pukul 09.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Toko buka tepat pukul 9. Barangnya oke semua.""","·","0812-8030-3695","","","","",""
"https://www.google.com/maps/place/Indomaret+Pemuda+Depok/data=!4m7!3m6!1s0x2e69ebde0a1712dd:0x49db883bac5a688d!8m2!3d-6.402391!4d106.8237473!16s%2Fg%2F1ptyqnzk5!19sChIJ3RIXCt7raS4RjWharDuI20k?authuser=0&hl=id&rclk=1","Indomaret Pemuda Depok","4,6","(224)","Minimarket","·","·","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Seperti","Jl. Pemuda No.49","","","","","",""
