"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","ah5Ghc 2","doJOZc","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7"
"https://www.google.com/maps/place/Foto+Copy+Maestro/data=!4m7!3m6!1s0x2e69c4b0268eba1b:0x55ffa8b5201c5ef3!8m2!3d-6.5587658!4d106.7332935!16s%2Fg%2F11c5bs_fhg!19sChIJG7qOJrDEaS4R814cILWo_1U?authuser=0&hl=id&rclk=1","Foto Copy Maestro","4,8","(9)","Toko Fotokopi","·","·","0813-8753-2898","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""mas nya ramah, harga nya bersahabat sekali untuk mahasiswa.""","","","Jl. Babakan Tengah No.35","Segera tutup","· 21.00 · Buka Sel pukul 07.30","·"
"https://www.google.com/maps/place/Maestro+Copy+Centre+2/data=!4m7!3m6!1s0x2e69c50079f4ead1:0x73a645ec12cbcefe!8m2!3d-6.5597463!4d106.73149!16s%2Fg%2F11vpwqp_nx!19sChIJ0er0eQDFaS4R_s7LEuxFpnM?authuser=0&hl=id&rclk=1","Maestro Copy Centre 2","3,0","(2)","Toko Fotokopi","·","Kios IPB, Kampus Dalam Jl. Babakan Raya No.120","0813-8753-2898","","Rute","","","","","·","Segera tutup","· 21.00 · Buka Sel pukul 07.30",""
"https://www.google.com/maps/place/Photo+copy+adinda/data=!4m7!3m6!1s0x2e69c5fc090498f5:0xc261a7bfa9ef4e2e!8m2!3d-6.622327!4d106.8121071!16s%2Fg%2F11c5_lz7bn!19sChIJ9ZgECfzFaS4RLk7vqb-nYcI?authuser=0&hl=id&rclk=1","Photo copy adinda","4,4","(149)","Toko Fotokopi","·","·","0812-1988-8300","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kerjaan cepat n mutu Copi an baik n harga terjangkau""","","","Jl. Lawang Gintung No.81, RT.01/RW.06","Segera tutup","· 21.00 · Buka Sel pukul 06.00","·"
"https://www.google.com/maps/place/Usaha+Muda+Copy+Center/data=!4m7!3m6!1s0x2e69c580a17db255:0xc118f3b0e9da40d5!8m2!3d-6.5614493!4d106.7305523!16s%2Fg%2F11h1t0hx2s!19sChIJVbJ9oYDFaS4R1UDa6bDzGME?authuser=0&hl=id&rclk=1","Usaha Muda Copy Center","4,5","(2)","Toko Fotokopi","·","Jl. Raya Dramaga, RT.03/RW.06","0812-9090-8687","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat FC deket IPB 👌👌""","","","·","Segera tutup","· 21.00 · Buka Sel pukul 06.00",""
"https://www.google.com/maps/place/FOTOCOPY+DIVALOKA+BOGOR/data=!4m7!3m6!1s0x2e69c43eeb22f0d5:0xbd0d1c375f57d371!8m2!3d-6.5701469!4d106.7985261!16s%2Fg%2F11b6dc_575!19sChIJ1fAi6z7EaS4RcdNXXzccDb0?authuser=0&hl=id&rclk=1","FOTOCOPY DIVALOKA BOGOR","4,7","(127)","Toko Fotokopi","·","Jalan Pemuda 45 (sebelum rel kebon pedes, RT.01/RW.06","0856-8329-124","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""fotocopynya sangat bagus dan dekat dengan sekolah smp 12 keren""","","","·","Tutup","· Buka Sel pukul 06.00",""
"https://www.google.com/maps/place/AIR+Photo+Copy/data=!4m7!3m6!1s0x2e69c529a61f287b:0xce400ed5cbecbcb6!8m2!3d-6.5708887!4d106.7392494!16s%2Fg%2F11gzr9x7_5!19sChIJeygfpinFaS4Rtrzsy9UOQM4?authuser=0&hl=id&rclk=1","AIR Photo Copy","5,0","(2)","Toko Fotokopi","·","Jl. H. Abbas No.06, RT.03/RW.06","0838-7030-5253","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bisa cetak kertas 3ply ga ya""","","","·","Segera tutup","· 21.00 · Buka Sel pukul 07.00",""
"https://www.google.com/maps/place/Tunas+Muda/data=!4m7!3m6!1s0x2e69c4b1a5b808e5:0x44058bed7f2dc9b5!8m2!3d-6.5591452!4d106.7315848!16s%2Fg%2F1pzr44bs_!19sChIJ5Qi4pbHEaS4Rtcktf-2LBUQ?authuser=0&hl=id&rclk=1","Tunas Muda","5,0","(1)","Toko Fotokopi","·","Jl. Babakan Tengah No.1, RT.1/RW.9","0813-2841-9090","","Rute","","","","","·","Buka","· Tutup pukul 22.00",""
"https://www.google.com/maps/place/MZ+Fotocopy/data=!4m7!3m6!1s0x2e69c4c6c6133b6d:0xebb9f12bce6507e8!8m2!3d-6.5725658!4d106.741873!16s%2Fg%2F11btlv1hh_!19sChIJbTsTxsbEaS4R6Adlzivxues?authuser=0&hl=id&rclk=1","MZ Fotocopy","4,9","(7)","Toko Fotokopi","·","Jl. Raya Dramaga No.1, RT.03/RW.03","0811-9923-473","","Rute","","Layanan di tempat","Janji temu online","","·","Tutup","· Buka Sel pukul 07.00",""
"https://www.google.com/maps/place/Dramaga+Print/data=!4m7!3m6!1s0x2e69c4b1b72a840b:0x61909cb6c3ee48d2!8m2!3d-6.578935!4d106.7396302!16s%2Fg%2F11gh2sr41y!19sChIJC4Qqt7HEaS4R0kjuw7ackGE?authuser=0&hl=id&rclk=1","Dramaga Print","5,0","(4)","Toko Fotokopi","·","Jln.lingkar kp. Manggis, RT.04/RW.04","0856-7680-083","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pindah alamat ke jln.lingkar kp.""","","","·","Tutup","· Buka Sel pukul 08.00",""
"https://www.google.com/maps/place/Hawari+Foto+Copy+Digital/data=!4m7!3m6!1s0x2e69c4667d3ef9e7:0x91592ca780a88fbd!8m2!3d-6.5626212!4d106.7796288!16s%2Fg%2F11b6dpg6k2!19sChIJ5_k-fWbEaS4RvY-ogKcsWZE?authuser=0&hl=id&rclk=1","Hawari Foto Copy Digital","4,2","(78)","Toko Fotokopi","·","·","0813-1110-0472","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""lumayan lengkap dgn harga bersahabat""","","","Jl. Taman Cimanggu Tengah Ruko Lama Jl. Taman Cimanggu Tengah No.14, RT.03/RW.08","Buka","· Tutup pukul 22.00","·"
"https://www.google.com/maps/place/Paluta+Fotocopy/data=!4m7!3m6!1s0x2e69c45845682f53:0x937010b6fe976a1e!8m2!3d-6.576232!4d106.77306!16s%2Fg%2F11bc7nrn_h!19sChIJUy9oRVjEaS4RHmqX_rYQcJM?authuser=0&hl=id&rclk=1","Paluta Fotocopy","4,4","(66)","Toko Fotokopi","·","·","0822-2337-5677","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sangat strategis, barang barangnya lengkap dan harganya terjangkau""","","","Jl. Cilendek, RT.02/RW.01","Buka","· Tutup pukul 22.00","·"
"https://www.google.com/maps/place/Semeru+Fotocopy+Digital/data=!4m7!3m6!1s0x2e69c41646c32d7b:0xc4ecfee3ea17c2c5!8m2!3d-6.5649688!4d106.8020638!16s%2Fg%2F11c1vjlt4j!19sChIJey3DRhbEaS4RxcIX6uP-7MQ?authuser=0&hl=id&rclk=1","Semeru Fotocopy Digital","4,8","(30)","Toko Fotokopi","·","·","0851-8314-4123","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lewat di depan tokonya""","","","Jl. Kb. Pedes, RT.03/RW.08","Tutup","· Buka Sel pukul 06.30","·"
"https://www.google.com/maps/place/Photo+Copy+Rani+Abadi/data=!4m7!3m6!1s0x2e69c527a5e401a5:0x7e7a048f80c54e31!8m2!3d-6.5589461!4d106.7345276!16s%2Fg%2F11fs_xkqlb!19sChIJpQHkpSfFaS4RMU7FgI8Een4?authuser=0&hl=id&rclk=1","Photo Copy Rani Abadi","5,0","(1)","Toko Alat Tulis","·","Jl. Babakan Tengah No.103-111, RT.01/RW.09","0853-1935-2529","","Rute","","","","","·","Buka","· Tutup pukul 23.00",""
"https://www.google.com/maps/place/fotocopy+%26+Studio+foto+ARENA/data=!4m7!3m6!1s0x2e69c5bebb92d3a3:0x4f3c7d8efaeb57f2!8m2!3d-6.565611!4d106.8017948!16s%2Fg%2F11gj0tv0f4!19sChIJo9OSu77FaS4R8lfr-o59PE8?authuser=0&hl=id&rclk=1","fotocopy & Studio foto ARENA","4,8","(37)","Toko Fotokopi","·","Jl. Kb. Pedes No.80, RT.01/RW.04","0813-8312-2283","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan ramah,dan harga terjangkau & bisa juga sambil ngopi👍👍💪""","","","·","Segera tutup","· 21.00 · Buka Sel pukul 07.00",""
"https://www.google.com/maps/place/Bogor+print/data=!4m7!3m6!1s0x2e69c5cae3733ba3:0x4e75875132e722d9!8m2!3d-6.5871949!4d106.7991156!16s%2Fg%2F11cncr3vg8!19sChIJoztz48rFaS4R2SLnMlGHdU4?authuser=0&hl=id&rclk=1","Bogor print","4,2","(208)","Layanan cetak digital","·","·","0878-8627-0206","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pengerjaan cepet banget, rapi, hasilnya bagus""","","","Jl. Sempur Kaler No.18, RT.01/RW.02","Tutup","· Buka Sel pukul 08.30","·"
"https://www.google.com/maps/place/Fotocopy+ilham+%28Kampus+IPB+Gunung+Gede%29/data=!4m7!3m6!1s0x2e69c5cd8a63d89f:0xd37c7abdd5c83ff0!8m2!3d-6.5871965!4d106.8069324!16s%2Fg%2F11rf7hp35y!19sChIJn9hjis3FaS4R8D_I1b16fNM?authuser=0&hl=id&rclk=1","Fotocopy ilham (Kampus IPB Gunung Gede)","5,0","(3)","Percetakan Komersial","·","Jl. Raya Pajajaran, RT.03/RW.06","0877-0506-2239","","Rute","","Layanan di tempat","Janji temu online","","·","Buka","· Tutup Sel pukul 05.00",""
"https://www.google.com/maps/place/Foto+Copy+%22Sinar+Sakti%22/data=!4m7!3m6!1s0x2e69c502acb198e1:0x36448c1bbb1d239c!8m2!3d-6.5901261!4d106.7860465!16s%2Fg%2F11csq5_3fc!19sChIJ4ZixrALFaS4RnCMduxuMRDY?authuser=0&hl=id&rclk=1","Foto Copy ""Sinar Sakti""","4,3","(29)","Toko Fotokopi","·","Jl. DR. Sumeru No.30, RT.03/RW.05","0877-7029-3230","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lengkap untuk keperluan tugas-tugas sekolah/kuliah""","","","·","Tutup","· Buka Sel pukul 07.00",""
"https://www.google.com/maps/place/Bastanta+Foto+Copy/data=!4m7!3m6!1s0x2e69c48371d7d2ad:0x3f3f641f989ea90!8m2!3d-6.5516585!4d106.761094!16s%2Fg%2F11bc7sl4gg!19sChIJrdLXcYPEaS4RkOqJ-UH28wM?authuser=0&hl=id&rclk=1","Bastanta Foto Copy","3,9","(34)","Toko Fotokopi","·","Jl. Raya Semplak No.160B, RT.04/RW.07","0812-1058-1296","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""bisa","fotocopy","","·","Buka","· Tutup pukul 22.00",""
"https://www.google.com/maps/place/Oke+Print+-+Bondongan/data=!4m7!3m6!1s0x2e69c5ea5e8a9d25:0x8b75c2cc17b3a066!8m2!3d-6.6101535!4d106.798514!16s%2Fg%2F11bc6plg7t!19sChIJJZ2KXurFaS4RZqCzF8zCdYs?authuser=0&hl=id&rclk=1","Oke Print - Bondongan","4,7","(679)","Layanan cetak digital","·","·","0851-0004-3377","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Puas bangettttttttt
Harga murah pelayanan terbaikkk""","","","Jalan Pahlawan No. 77C Bondongan, RT.01/RW.06","Buka","· Tutup pukul 00.00","·"
"https://www.google.com/maps/place/Toko+Acc+Putra/data=!4m7!3m6!1s0x2e69c4b1cff64b33:0xbe42958a67acff39!8m2!3d-6.5592734!4d106.7316031!16s%2Fg%2F11ddx2xgdp!19sChIJM0v2z7HEaS4ROf-sZ4qVQr4?authuser=0&hl=id&rclk=1","Toko Acc Putra","4,3","(194)","Toko Alat Tulis","·","·","0812-9427-726","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Toko stationery n sebelahnya","fotokopi","","Jl. Babakan Tengah No.1","Tutup","· Buka Sel pukul 06.30","·"
"https://www.google.com/maps/place/Neneng+Copy+Centre/data=!4m7!3m6!1s0x2e69c502cec37ae1:0xd9a13adb5267f588!8m2!3d-6.5899655!4d106.7592861!16s%2Fg%2F11bc7t9jnh!19sChIJ4XrDzgLFaS4RiPVnUts6odk?authuser=0&hl=id&rclk=1","Neneng Copy Centre","4,7","(14)","Toko Fotokopi","·","Blok FF1, Jl. Raya Taman Pagelaran No.14, RT.03/RW.09","0823-1213-2233","","Rute","","Layanan di tempat","Janji temu online","","·","Segera tutup","· 21.00 · Buka Sel pukul 07.00",""
"https://www.google.com/maps/place/Sumber+Cahaya+Digital+Printing+%26+Copy+Center/data=!4m7!3m6!1s0x2e69c42f955b81d3:0x6cb8b66ab508b1ae!8m2!3d-6.5777982!4d106.80761!16s%2Fg%2F11c5_s24ll!19sChIJ04FblS_EaS4RrrEItWq2uGw?authuser=0&hl=id&rclk=1","Sumber Cahaya Digital Printing & Copy Center","4,6","(168)","Layanan cetak digital","·","·","0858-8876-2878","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mantap bisa order lewat WA dan selesainya pun cepat (dalam hitungan jam).""","","","Jl. Raya Pajajaran No.234c, RT.03/RW.03","Tutup","· Buka Sel pukul 08.00","·"
"https://www.google.com/maps/place/Emen+Fotocopy+Print+24+Jam/data=!4m7!3m6!1s0x2e69c578803949bb:0xe035d7fcba585573!8m2!3d-6.5989498!4d106.8125004!16s%2Fg%2F11wc2xhrv3!19sChIJu0k5gHjFaS4Rc1VYuvzXNeA?authuser=0&hl=id&rclk=1","Emen Fotocopy Print 24 Jam","4,4","(23)","Toko Percetakan","·","Jl. Pakuan No.74 Universitas Pakuan, RT.01/RW.06","0851-5057-0828","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Hasil bagus dan memuaskan.abangnya ga ngebetein yg kerja nya gercep 😍""","","","·","Buka 24 jam","",""
"https://www.google.com/maps/place/Pasaribu+Fotocopy/data=!4m7!3m6!1s0x2e69c58cb15663b3:0x6f7097f7cb1030e3!8m2!3d-6.6223051!4d106.7939312!16s%2Fg%2F11bc7rkk7x!19sChIJs2NWsYzFaS4R4zAQy_eXcG8?authuser=0&hl=id&rclk=1","Pasaribu Fotocopy","4,4","(34)","Toko Fotokopi","·","·","0812-8499-9844","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Jusl kabel 2 listrik""","","","Jl. Ama Sandi Jl. Raya Cibeuruem No.01, RT.02/RW.09","","",""
"https://www.google.com/maps/place/PRINT+150/data=!4m7!3m6!1s0x2e69c5b21c768d0b:0xe9b4b09d66558f3!8m2!3d-6.5588309!4d106.7320948!16s%2Fg%2F11s7894rv4!19sChIJC412HLLFaS4R81hl1glLmw4?authuser=0&hl=id&rclk=1","PRINT 150","2,6","(12)","Toko Percetakan","·","Jl. Babakan Tengah No.11","0852-1000-7380","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat","print","","·","Segera tutup","· 21.00 · Buka Sel pukul 08.00",""
"https://www.google.com/maps/place/Aputis+Fotocopy+%26+Electric/data=!4m7!3m6!1s0x2e69c5c480c93505:0x6aff92ea554e7bdb!8m2!3d-6.6021024!4d106.8032236!16s%2Fg%2F11b7vcp549!19sChIJBTXJgMTFaS4R23tOVeqS_2o?authuser=0&hl=id&rclk=1","Aputis Fotocopy & Electric","4,8","(21)","Toko Fotokopi","·","·","0838-1124-2612","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bisa","print","","Jl. Otto Iskandardinata No.74, RT.3/RW.01","Tutup","· Buka Sel pukul 08.00","·"
"https://www.google.com/maps/place/SAE+Print/data=!4m7!3m6!1s0x2e69c5f8941e30ed:0x8428f9359fc39d84!8m2!3d-6.5873384!4d106.771765!16s%2Fg%2F11lcmqdd82!19sChIJ7TAelPjFaS4RhJ3DnzX5KIQ?authuser=0&hl=id&rclk=1","SAE Print","4,7","(607)","Layanan cetak digital","·","·","0813-1999-7931","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Recomend banget buat nge","print","","Jl. Mayjend Ishak Djuarsa Ruko Loji No.1&2, RT.03/RW.01","Buka","· Tutup pukul 00.00","·"
"https://www.google.com/maps/place/Rotua+Fotocopy/data=!4m7!3m6!1s0x2e69c4161960c11f:0xdeca26bac1ab975c!8m2!3d-6.5659388!4d106.801066!16s%2Fg%2F11c1vj26q5!19sChIJH8FgGRbEaS4RXJerwbomyt4?authuser=0&hl=id&rclk=1","Rotua Fotocopy","4,8","(21)","Toko Fotokopi","·","Jl. Kb. Pedes No.04, RT.02/RW.04","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Duh bagus banget ini mah kaciw""","","","","Buka","· Tutup pukul 22.00",""
"https://www.google.com/maps/place/Foto+Copy+Triple+F/data=!4m7!3m6!1s0x2e69c443db77a10d:0x29e6c15475510493!8m2!3d-6.5704204!4d106.7877781!16s%2Fg%2F11bz_2zcm4!19sChIJDaF320PEaS4RkwRRdVTB5ik?authuser=0&hl=id&rclk=1","Foto Copy Triple F","4,5","(12)","Toko Fotokopi","·","Jl. Tentara Pelajar, RT.01/RW.07","0813-9921-4236","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lejen bgt, murah, pelayanan oke, tangkas ngerjain apa2nya""","","","·","Segera tutup","· 21.00 · Buka Sel pukul 07.30",""
"https://www.google.com/maps/place/Anugrah+Fotocopy/data=!4m7!3m6!1s0x2e69c5d2fefb7123:0x3e96baaa05d326da!8m2!3d-6.5891776!4d106.8087763!16s%2Fg%2F11fzv0v946!19sChIJI3H7_tLFaS4R2ibTBaq6lj4?authuser=0&hl=id&rclk=1","Anugrah Fotocopy","4,6","(11)","Toko Fotokopi","·","Jl. Lodaya II No.6 2, RT.05/RW.02","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Jual bingkai gak ya ?""","","","","","",""
"https://www.google.com/maps/place/Oke+Print/data=!4m7!3m6!1s0x2e69c5cae69e4c81:0x2e76aa8e3f1a71e8!8m2!3d-6.5810271!4d106.7971943!16s%2Fg%2F1hm3rz5sb!19sChIJgUye5srFaS4R6HEaP46qdi4?authuser=0&hl=id&rclk=1","Oke Print","4,3","(804)","Layanan cetak digital","·","·","0851-0072-6688","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""30k sangat memuaskan, dan fast responsive, tks""","","","Air Mancur, Jl. A. Yani No.6-8, RT.05/RW.03","Buka","· Tutup pukul 00.00","·"
"https://www.google.com/maps/place/Jekita+Fotocopy+%26+Penjilidan/data=!4m7!3m6!1s0x2e69c44406d8214f:0x27b255bc012b352b!8m2!3d-6.5722275!4d106.7879516!16s%2Fg%2F11crt1_4js!19sChIJTyHYBkTEaS4RKzUrAbxVsic?authuser=0&hl=id&rclk=1","Jekita Fotocopy & Penjilidan","4,4","(27)","Toko Fotokopi","·","·","0822-1192-2291","","Situs Web","","","","","Jl. Tentara Pelajar No.8, RT.01/RW.07","Tutup","· Buka Sel pukul 07.30","·"
"https://www.google.com/maps/place/FOTO+COPY,+PRINT,+PERCETAKAN,ATK/data=!4m7!3m6!1s0x2e69c5be4ff39f13:0x8c6fd805fd32306d!8m2!3d-6.571792!4d106.7399108!16s%2Fg%2F11w_hwxnl5!19sChIJE5_zT77FaS4RbTAy_QXYb4w?authuser=0&hl=id&rclk=1","FOTO COPY, PRINT, PERCETAKAN,ATK","","","Toko Fotokopi","·","Jl. Raya Dramaga No.KM RT 01/06, RT.01/RW.06","","","Rute","","","","","","Tutup","· Buka Sel pukul 07.00",""
"https://www.google.com/maps/place/Zaskia+Foto+Copy/data=!4m7!3m6!1s0x2e69c6af9910ffd9:0xda3c5ad5c2d85ad6!8m2!3d-6.5541015!4d106.8271893!16s%2Fg%2F11c48cw09n!19sChIJ2f8Qma_GaS4R1lrYwtVaPNo?authuser=0&hl=id&rclk=1","Zaskia Foto Copy","4,7","(15)","Toko Fotokopi","·","CRWG+9V4, Jl. Batara, RT.04/RW.02","0813-1982-9384","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan nya ramah.""","","","·","Segera tutup","· 21.30 · Buka Sel pukul 08.00",""
"https://www.google.com/maps/place/Foto+Copy+wici/data=!4m7!3m6!1s0x2e69c4fa2c624ba9:0xa3d80ca655083d09!8m2!3d-6.5803871!4d106.7645261!16s%2Fg%2F11hch__4kh!19sChIJqUtiLPrEaS4RCT0IVaYM2KM?authuser=0&hl=id&rclk=1","Foto Copy wici","4,6","(7)","Toko Fotokopi","·","RT.01/RW.05","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Fotocopy","","","Segera tutup","· 21.00 · Buka Sel pukul 07.00",""
"https://www.google.com/maps/place/WARNA+Fotocopy+dan+Digital+Printing/data=!4m7!3m6!1s0x2e69c5d1d08f84bb:0x4eb9881a383bba2c!8m2!3d-6.5937804!4d106.8066293!16s%2Fg%2F11bc7rz3jx!19sChIJu4SP0NHFaS4RLLo7OBqIuU4?authuser=0&hl=id&rclk=1","WARNA Fotocopy dan Digital Printing","4,6","(139)","Toko Percetakan","·","·","0812-8054-4570","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Yg di","fotocopy","","Jalan Malabar Ujung, Samping Kelurahan No.3, RT.002/RW.001","Buka","· Tutup pukul 22.00","·"
"https://www.google.com/maps/place/Gucci+Photo+Studio/data=!4m7!3m6!1s0x2e69c4583db2e9ff:0x6a806c25e171fbba!8m2!3d-6.5768798!4d106.7722818!16s%2Fg%2F11gdt_4ryx!19sChIJ_-myPVjEaS4Ruvtx4SVsgGo?authuser=0&hl=id&rclk=1","Gucci Photo Studio","4,3","(20)","Toko Fotokopi","·","Jl. Kelor 10 No, RT.02/RW.2","0812-8198-7638","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Recommended banget buat kebutuhan tugas anak sekolah""","","","·","Segera tutup","· 21.00 · Buka Sel pukul 08.00",""
"https://www.google.com/maps/place/Foto+copy+alfajar+%26+print/data=!4m7!3m6!1s0x2e69c598ca18d993:0x50cbcc8cd3440851!8m2!3d-6.5923948!4d106.8055017!16s%2Fg%2F11h5qnpxlm!19sChIJk9kYypjFaS4RUQhE04zMy1A?authuser=0&hl=id&rclk=1","Foto copy alfajar & print","3,7","(3)","Toko Fotokopi","·","Jl. Lodaya I No.1, RT.03/RW.01","0813-8939-1990","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bisa","print","","·","Buka","· Tutup pukul 00.00",""
