"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"https://www.google.com/maps/place/Apotek+yumna+farma/data=!4m7!3m6!1s0x2e69c5b35bcfa9a7:0x486e94db2db3dba0!8m2!3d-6.5727649!4d106.7442778!16s%2Fg%2F11hsgsfb81!19sChIJp6nPW7PFaS4RoNuzLduUbkg?authuser=0&hl=id&rclk=1","Apotek yumna farma","4,3","(11)","Apotek","·","Jl. Raya Dramaga No.12, RT.01/RW.03","Segera tutup","· 21.00 · Buka Sel pukul 07.00","·","0856-9767-9888","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Murah pelayanan nya ramah👍🏻👍🏻"""
"https://www.google.com/maps/place/Apotek+Delta/data=!4m7!3m6!1s0x2e69c5602e9d6b61:0x5e94368c0abf656e!8m2!3d-6.5681459!4d106.7380165!16s%2Fg%2F11f87vzr_q!19sChIJYWudLmDFaS4RbmW_Cow2lF4?authuser=0&hl=id&rclk=1","Apotek Delta","4,1","(24)","Apotek","·","CPJQ+P6R, Jalan Raya","Segera tutup","· 21.30 · Buka Sel pukul 07.00","·","0812-8536-5782","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga murah bagus, pelayanan nya bagus ga judes
👍👍👍👍👍"""
"https://www.google.com/maps/place/Apotek+Adivaa/data=!4m7!3m6!1s0x2e69c5f9cdd272fd:0x65c0eb94787a59d5!8m2!3d-6.5633037!4d106.7332181!16s%2Fg%2F11qqv3z30h!19sChIJ_XLSzfnFaS4R1Vl6eJTrwGU?authuser=0&hl=id&rclk=1","Apotek Adivaa","4,8","(8)","Apotek","·","Jalan raya dramaga no.26 RT 03/01","Buka","· Tutup pukul 22.00","·","0858-9315-1228","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Apotekernya ramah, tempatnya bersih, obat-obatan lengkap🫶🏻"""
"https://www.google.com/maps/place/APOTEK+GUNUNG+BATU+BOGOR+%28PT.+Adhiva+Amanah+Medica%29/data=!4m7!3m6!1s0x2e69c5ac01c62395:0x2d9e4d9686b0f488!8m2!3d-6.5928451!4d106.7768532!16s%2Fg%2F11f3v7g23g!19sChIJlSPGAazFaS4RiPSwhpZNni0?authuser=0&hl=id&rclk=1","APOTEK GUNUNG BATU BOGOR (PT. Adhiva Amanah Medica)","3,8","(46)","Apotek","·","APOTEK, Jl. Mayjend Ishak Djuarsa No.167C, RT.04/RW.04","Segera tutup","· 21.00 · Buka Sel pukul 07.00","·","0812-1343-3166","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""""
"https://www.google.com/maps/place/Apotek+Askia+Cimanggu/data=!4m7!3m6!1s0x2e69c522223602ed:0x709ab591524f6f8a!8m2!3d-6.5644527!4d106.7827542!16s%2Fg%2F11ssrj0wvd!19sChIJ7QI2IiLFaS4Rim9PUpG1mnA?authuser=0&hl=id&rclk=1","Apotek Askia Cimanggu","4,9","(724)","Apotek","·","Jl. Raya Taman Cimanggu No.RT 004/003, RT.04/RW.03","Buka","· Tutup pukul 23.00","·","0822-8842-3999","http://apotekaskia.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""So far so good, tempatnya bersih & apotekernya sangat helpful."""
"https://www.google.com/maps/place/Lily+Farma/data=!4m7!3m6!1s0x2e69c4c6b1e1587d:0xaa5018d19c6c3aa7!8m2!3d-6.5730249!4d106.7407181!16s%2Fg%2F11fcr7fqhx!19sChIJfVjhscbEaS4RpzpsnNEYUKo?authuser=0&hl=id&rclk=1","Lily Farma","5,0","(1)","Apotek","·","Jl. Pemuda Jl. Raya Dramaga No.18, RT.01/RW.06","Segera tutup","· 21.00 · Buka Sel pukul 09.00","·","(0251) 8626428","","","Rute","","","",""
"https://www.google.com/maps/place/Apotek+Medika/data=!4m7!3m6!1s0x2e69c5c2258c9285:0x398215dae0dcce93!8m2!3d-6.6098953!4d106.798669!16s%2Fg%2F11h01r71l!19sChIJhZKMJcLFaS4Rk87c4NoVgjk?authuser=0&hl=id&rclk=1","Apotek Medika","4,3","(36)","Apotek","·","Jl. Pahlawan No.61C, RT.01/RW.09","Segera tutup","· 21.00 · Buka Sel pukul 07.00","·","0877-7579-0088","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Apakah ini klinik dr irianto faskes 1"""
"https://www.google.com/maps/place/Apotek+Agisna+Farma/data=!4m7!3m6!1s0x2e69dadce78fc377:0x5075196f52eb787a!8m2!3d-6.5992777!4d106.7034639!16s%2Fg%2F11f57wpb3j!19sChIJd8OP59zaaS4RenjrUm8ZdVA?authuser=0&hl=id&rclk=1","Apotek Agisna Farma","4,8","(52)","Apotek","","·","Segera tutup","· 21.00 · Buka Sel pukul 07.30","","0858-1395-9935","https://shopee.co.id/mzilkykomara?smtt=0.0.9","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""""
"https://www.google.com/maps/place/Apotek+zentrum+3/data=!4m7!3m6!1s0x2e69c5df8bd6193f:0xea60ec164767517!8m2!3d-6.5552956!4d106.7615349!16s%2Fg%2F11c7vvc1sz!19sChIJPxnWi9_FaS4RF3V2ZMEOpg4?authuser=0&hl=id&rclk=1","Apotek zentrum 3","4,2","(284)","Apotek","·","·","Segera tutup","· 21.00 · Buka Sel pukul 08.00","Jl. Raya Semplak No.253, RT.14/RW.04","(0251) 7595031","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Layanannya Gercep soal obat BPJS, ga ada kata stok kosong"""
"https://www.google.com/maps/place/Apotek+Kota+Batu+2+Bogor/data=!4m7!3m6!1s0x2e69c56f8858b8cf:0x6c024a3b3b065912!8m2!3d-6.6276252!4d106.7797303!16s%2Fg%2F11kppqr4_0!19sChIJz7hYiG_FaS4RElkGOztKAmw?authuser=0&hl=id&rclk=1","Apotek Kota Batu 2 Bogor","5,0","(162)","Apotek","·","Dekat SPBU, Jl kapten Yusuf ruko D188, RT.03/RW.15","Segera tutup","· 21.00 · Buka Sel pukul 07.00","·","0821-2100-0807","https://linktr.ee/apotekkotabatu","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sangat memuaskan & tempat yang sangat bagus untuk"
"https://www.google.com/maps/place/Apotek+Delta+2/data=!4m7!3m6!1s0x2e69c5facca3a1eb:0xd1f59a54c27e2b8a!8m2!3d-6.5775563!4d106.8070026!16s%2Fg%2F11fl9mvm0f!19sChIJ66GjzPrFaS4Riit-wlSa9dE?authuser=0&hl=id&rclk=1","Apotek Delta 2","4,9","(58)","Apotek","·","Jl. Raya Pajajaran No.9, RT.02/RW.03","Segera tutup","· 21.30 · Buka Sel pukul 07.00","·","(0251) 8571672","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""obatnya lengkap, pelayanan ramah, harga murah"""
"https://www.google.com/maps/place/APOTEK+BOGOR/data=!4m7!3m6!1s0x2e69c5f8bed96bc7:0x54c51c5c60c545c6!8m2!3d-6.5992028!4d106.7930971!16s%2Fg%2F11yv3htvlv!19sChIJx2vZvvjFaS4RxkXFYFwcxVQ?authuser=0&hl=id&rclk=1","APOTEK BOGOR","4,7","(3)","Apotek","·","Dekat, RT.02/RW.08","Buka 24 jam","","·","0857-8214-9704","https://www.instagram.com/apotek.bogor/","","Situs Web","","Rute","","Belanja di toko"
"https://www.google.com/maps/place/Apotek+Kimia+Farma+Merdeka+Bogor+%28Alat+Kesehatan,+Poli+Dokter,+Food+Supplement%29/data=!4m7!3m6!1s0x2e69c5b365cf2139:0x522f8939f813f008!8m2!3d-6.594562!4d106.788489!16s%2Fg%2F1tdkv2mx!19sChIJOSHPZbPFaS4RCPAT-DmJL1I?authuser=0&hl=id&rclk=1","Apotek Kimia Farma Merdeka Bogor (Alat Kesehatan, Poli Dokter, Food Supplement)","4,4","(342)","Apotek","·","·","Buka","· Tutup pukul 23.00","Jl. Merdeka No.24","0812-8893-7476","http://kimiafarmaapotek.co.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""pelayanan ramah, obatnya lengkap, apoteknya gede, karyawannya baik baik"""
"https://www.google.com/maps/place/Apotek+Alpro/data=!4m7!3m6!1s0x2e69c4783d4d364b:0xc18fd265e9a81bc0!8m2!3d-6.5544326!4d106.7821352!16s%2Fg%2F11b_24c0px!19sChIJSzZNPXjEaS4RwBuo6WXSj8E?authuser=0&hl=id&rclk=1","Apotek Alpro","4,9","(331)","Apotek","·","·","Buka","· Tutup pukul 22.00","Jl. Bukit Cimanggu Villa H No.43 Blok K1, RT.01/RW.11","(0251) 7599568","http://www.century-pharma.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""apoteknya bersih, pelayanan ramah, ada pengecekan gratis juga"""
"https://www.google.com/maps/place/Klinik+Pratama+Nala+%26+Apotek/data=!4m7!3m6!1s0x2e69c45a84d7ed99:0x57f53e346012fff1!8m2!3d-6.5798814!4d106.7761903!16s%2Fg%2F11g68z8cd7!19sChIJme3XhFrEaS4R8f8SYDQ-9Vc?authuser=0&hl=id&rclk=1","Klinik Pratama Nala & Apotek","4,5","(303)","Apotek","·","I, Jl. Medika No.2, RT.02/RW.19","Tutup","· Buka Sel pukul 08.00","·","0858-1169-6462","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bagus pelayanannya,bersih tempatnya"""
"https://www.google.com/maps/place/Apotek+AS+SYIFA/data=!4m7!3m6!1s0x2e69c5d3e16e4e23:0x40594da215604616!8m2!3d-6.5805925!4d106.7636034!16s%2Fg%2F11h5rf2px4!19sChIJI05u4dPFaS4RFkZgFaJNWUA?authuser=0&hl=id&rclk=1","Apotek AS SYIFA","5,0","(142)","Apotek","·","CQ97+QC9, Jl. Letjen Ibrahim Adjie No.202 C, RT.01/RW.03","Segera tutup","· 21.00 · Buka Sel pukul 07.00","·","0813-8225-1991","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""""
"https://www.google.com/maps/place/Apotek+K-24+Pahlawan+Bogor/data=!4m7!3m6!1s0x2e69c5532d82ac1d:0x3cb0605a9552a795!8m2!3d-6.6143098!4d106.8036633!16s%2Fg%2F11zkcsrm_h!19sChIJHayCLVPFaS4RladSlVpgsDw?authuser=0&hl=id&rclk=1","Apotek K-24 Pahlawan Bogor","5,0","(160)","Apotek","·","Jl. Pahlawan No.141, RT.02/RW.16","Buka 24 jam","","·","0811-2852-0553","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Responnya cepat dan apotekernya sabar banget jawab pertanyaan soal dosis."""
"https://www.google.com/maps/place/Apotek+Subur+farma/data=!4m7!3m6!1s0x2e69dd09524a96b7:0xafc31165edc90b24!8m2!3d-6.5449429!4d106.693316!16s%2Fg%2F11gy9x8y34!19sChIJt5ZKUgndaS4RJAvJ7WURw68?authuser=0&hl=id&rclk=1","Apotek Subur farma","5,0","(12)","Apotek","·","FM4V+28G, Unnamed Road","","","","","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lengkap.. harga ok"""
"https://www.google.com/maps/place/Apotek+Graha+Farma/data=!4m7!3m6!1s0x2e69c4680b364e4b:0x24a9f96bf29f160c!8m2!3d-6.5658594!4d106.7827126!16s%2Fg%2F11fhz5kf5r!19sChIJS042C2jEaS4RDBaf8mv5qSQ?authuser=0&hl=id&rclk=1","Apotek Graha Farma","4,6","(28)","Apotek","·","Jl. Boulevard Bolok O1, Jl. Raya Taman Cimanggu No.14, RT.02/RW.02","Buka","· Tutup pukul 22.00","","","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pokonya"
"https://www.google.com/maps/place/Apotek+Syakura/data=!4m7!3m6!1s0x2e69db4e9e7fc28d:0x26aa01ce1f040f16!8m2!3d-6.5619301!4d106.7160283!16s%2Fg%2F1hm3xcs_3!19sChIJjcJ_nk7baS4RFg8EH84BqiY?authuser=0&hl=id&rclk=1","Apotek Syakura","4,3","(23)","Apotek","·","Jl. Cibanteng Agathis No.66","Segera tutup","· 21.30 · Buka Sel pukul 08.00","·","0856-9499-6222","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lebih murah dri"
"https://www.google.com/maps/place/Apotek+QTA+Sehat+%7C+Apotek+Lengkap+Terjangkau+Sentul+Bogor/data=!4m7!3m6!1s0x2e69c7cdab133e5d:0xd39f14f308c8f719!8m2!3d-6.5622423!4d106.8625496!16s%2Fg%2F11rpdb_0_6!19sChIJXT4Tq83HaS4RGffICPMUn9M?authuser=0&hl=id&rclk=1","Apotek QTA Sehat | Apotek Lengkap Terjangkau Sentul Bogor","4,9","(83)","Apotek","·","Ruko Plaza Victoria E No. 03, Kel. Babakan Madang","Segera tutup","· 21.00 · Buka Sel pukul 07.00","·","0816-1406-808","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bersih, harga terjangkau dan obat2an nya lengkap, mantap"""
"https://www.google.com/maps/place/Apotek+Sindang+Barang+Loji/data=!4m7!3m6!1s0x2e69c4f8c68b132f:0xbfbc8b9363eb519a!8m2!3d-6.5825013!4d106.7690004!16s%2Fg%2F1hm3ptv9q!19sChIJLxOLxvjEaS4RmlHrY5OLvL8?authuser=0&hl=id&rclk=1","Apotek Sindang Barang Loji","4,2","(33)","Apotek","·","Jl. Sindang Barang Pengkolan No.290, RT.04/RW.03","Segera tutup","· 21.00 · Buka Sel pukul 07.30","·","(0251) 8311162","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Penjualnya ramah"""
"https://www.google.com/maps/place/Apotek+Pakuan+Farma/data=!4m7!3m6!1s0x2e69c52cff535499:0x19891609355c98dc!8m2!3d-6.5697792!4d106.8131584!16s%2Fg%2F11j3rwm4_r!19sChIJmVRT_yzFaS4R3JhcNQkWiRk?authuser=0&hl=id&rclk=1","Apotek Pakuan Farma","5,0","(17)","Apotek","·","Jl. Achmad Adnawijaya No.12, RT.07/RW.15","Segera tutup","· 21.00 · Buka Sel pukul 07.30","","","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan ramah dan memuaskan"""
"https://www.google.com/maps/place/Apotek+Cinangneng/data=!4m7!3m6!1s0x2e69db5b76a1681b:0x14164bbbeb02946a!8m2!3d-6.5574159!4d106.7071721!16s%2Fg%2F1hm3y8ssf!19sChIJG2ihdlvbaS4RapQC67tLFhQ?authuser=0&hl=id&rclk=1","Apotek Cinangneng","4,1","(28)","Apotek","·","·","Buka","· Tutup pukul 22.00","Jl. Raya Cinangneng","0878-7391-1010","https://www.honestdocs.id/apotik/apotek-cinangneng-bogor","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya strategis dan obatnya lengkap dan tidak mahal"""
"https://www.google.com/maps/place/APOTIK+PRIMA/data=!4m7!3m6!1s0x2e69c5ce13b160e5:0x7530fab10640fa13!8m2!3d-6.5929911!4d106.8049153!16s%2Fg%2F11bc7qshhs!19sChIJ5WCxE87FaS4RE_pABrH6MHU?authuser=0&hl=id&rclk=1","APOTIK PRIMA","4,6","(44)","Apotek","·","Jl. Raya Pajajaran No.25, RT.03/RW.01","Tutup","· Buka Sel pukul 06.30","·","0838-9159-6555","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan baik, parkir luas"""
"https://www.google.com/maps/place/Apotek+BTU/data=!4m7!3m6!1s0x2e69c5e8845fb085:0x343a950b35385e8c!8m2!3d-6.5846373!4d106.7710643!16s%2Fg%2F11hynr7lg4!19sChIJhbBfhOjFaS4RjF44NQuVOjQ?authuser=0&hl=id&rclk=1","Apotek BTU","4,5","(58)","Apotek","·","Jalan letjen ibrahim adjie no 252 loji RT.01/RW.10 Sindang barang, RT.01/RW.10","Segera tutup","· 21.00 · Buka Sel pukul 07.00","·","0813-8206-4443","https://apotekbtu.go.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Klau bingung mau pakai obat apa, bisa memberikan solusi yg tepat."""
"https://www.google.com/maps/place/APOTEK+DELFI/data=!4m7!3m6!1s0x2e69c55a2d9ccc6d:0x794f6e4aaca348aa!8m2!3d-6.5799676!4d106.7628008!16s%2Fg%2F11h1m4434n!19sChIJbcycLVrFaS4RqkijrEpuT3k?authuser=0&hl=id&rclk=1","APOTEK DELFI","4,0","(36)","Apotek","·","Jl. Letjen Ibrahim Adjie No.394, RT.02/RW.09","Buka","· Tutup pukul 22.00","·","0813-8107-2475","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Apoteknya bersih, lengkap & harganya murah, Kakak kakak nya juga ramah👍"""
"https://www.google.com/maps/place/Apotek+Kimia+Farma+Juanda+Bogor/data=!4m7!3m6!1s0x2e69c5b7f969c9db:0x5e4e73bb07555e53!8m2!3d-6.6000512!4d106.7944626!16s%2Fg%2F1tf457r6!19sChIJ28lp-bfFaS4RU15VB7tzTl4?authuser=0&hl=id&rclk=1","Apotek Kimia Farma Juanda Bogor","3,8","(986)","Apotek","·","·","Buka 24 jam","","Jl. Ir. H. Juanda No.30, RT.03/RW.02","0857-7968-3857","http://kimiafarmaapotek.co.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""BPJSnya juga cepat pelayanannya dan informatif, diberi teh gratis."""
"https://www.google.com/maps/place/Apotek+Cordelia+Bogor/data=!4m7!3m6!1s0x2e69c59dcb612ee7:0x4b36ca4518b56a6e!8m2!3d-6.5915205!4d106.7755382!16s%2Fg%2F11v3z5my20!19sChIJ5y5hy53FaS4Rbmq1GEXKNks?authuser=0&hl=id&rclk=1","Apotek Cordelia Bogor","5,0","(2)","Apotek","·","Jl. Mayjend Ishak Djuarsa No.1B, RT.05/RW.04","","","","0811-1147-002","","","Rute","","","",""
"https://www.google.com/maps/place/APOTEK+ZENTRUM+5+BOGOR/data=!4m7!3m6!1s0x2e69c5004f90f79b:0xaec4f8aba547967b!8m2!3d-6.5823824!4d106.7785337!16s%2Fg%2F11y022644p!19sChIJm_eQTwDFaS4Re5ZHpav4xK4?authuser=0&hl=id&rclk=1","APOTEK ZENTRUM 5 BOGOR","4,5","(15)","Apotek","·","CQ9H+3G7, RT.01/RW.01","Segera tutup","· 21.00 · Buka Sel pukul 08.00","·","0851-9611-4769","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bagus dan nyaman..
Melayani resep BPJS dan rujuk balik."""
"https://www.google.com/maps/place/Apotek+Jaya+Medika+%28JM%29/data=!4m7!3m6!1s0x2e69c5da3b27c085:0xe5ed9d42cea96349!8m2!3d-6.559103!4d106.778853!16s%2Fg%2F11h7fljqz0!19sChIJhcAnO9rFaS4RSWOpzkKd7eU?authuser=0&hl=id&rclk=1","Apotek Jaya Medika (JM)","4,3","(47)","Apotek","·","Jl. Johar Raya No.24, RT.04/RW.04","Segera tutup","· 21.00 · Buka Sel pukul 08.00","·","0813-6189-0629","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bersih dan adem juga jadi nyaman saat nunggu obat!"""
"https://www.google.com/maps/place/Apotek+Zam-Zam+Farma+2/data=!4m7!3m6!1s0x2e69c54d076805a3:0x83c4028f6622de43!8m2!3d-6.5654555!4d106.7618873!16s%2Fg%2F11ghs8vbg0!19sChIJowVoB03FaS4RQ94iZo8CxIM?authuser=0&hl=id&rclk=1","Apotek Zam-Zam Farma 2","3,8","(27)","Apotek","·","CQM6+RQV, RT.02/RW.12","Segera tutup","· 21.30 · Buka Sel pukul 07.30","·","0815-1121-4120","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan ramah, cepat mantaf lah
Terimakasih zam zam farma2..."""
"https://www.google.com/maps/place/Apotek+Bunda+3+Laladon/data=!4m7!3m6!1s0x2e69c4ebd8092133:0xe3c09c0894046e4d!8m2!3d-6.5732816!4d106.7508019!16s%2Fg%2F11c58nl28c!19sChIJMyEJ2OvEaS4RTW4ElAicwOM?authuser=0&hl=id&rclk=1","Apotek Bunda 3 Laladon","4,7","(15)","Apotek","·","·","Buka","· Tutup pukul 22.00","CQG2+M8M, Jalan Raya","0812-3444-7762","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga terjangkau
Area parkir buruk"""
"https://www.google.com/maps/place/Apotek+Golden+Bogor/data=!4m7!3m6!1s0x2e69c42e85a6c0e1:0xd657c4a7b1737291!8m2!3d-6.5809379!4d106.8084755!16s%2Fg%2F1hm5kmx90!19sChIJ4cCmhS7EaS4RkXJzsafEV9Y?authuser=0&hl=id&rclk=1","Apotek Golden Bogor","4,4","(61)","Apotek","·","Jl. Achmad Sobana No.6, RT.01/RW.07","Segera tutup","· 21.00 · Buka Sel pukul 08.00","·","0852-1823-3371","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Stok obat komplit, harga terjangkau, pelayanan baik dan sopan."""
"https://www.google.com/maps/place/Apotek+Alun/data=!4m7!3m6!1s0x2e69c5c0029517f7:0x8c3ad71e97b950c9!8m2!3d-6.6076069!4d106.7951438!16s%2Fg%2F11g65fpgc5!19sChIJ9xeVAsDFaS4RyVC5lx7XOow?authuser=0&hl=id&rclk=1","Apotek Alun","4,3","(3)","Apotek","·","Jl. Raden Aria Wiranata No.12-13, RT.04/RW.02","Tutup","· Buka Sel pukul 08.00","","","","","Rute","","","",""
"https://www.google.com/maps/place/Apotek+Kita+Farma/data=!4m7!3m6!1s0x2e69c5a509a9dd4d:0x88c26d72b90697bc!8m2!3d-6.5834452!4d106.779632!16s%2Fg%2F11bc7nj69m!19sChIJTd2pCaXFaS4RvJcGuXJtwog?authuser=0&hl=id&rclk=1","Apotek Kita Farma","3,9","(17)","Apotek","·","Braja Mustika, Ruko Jl. DR. Sumeru 2 No. 12, RT.02/RW.01","Segera tutup","· 21.00 · Buka Sel pukul 08.00","·","0812-9636-7194","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harus nya nomer yg tercantum ganti gak aktif wa nya"""
